Title,Link,Category,Time,Content
"Viral Pajero Pakai Tot-tot Wuk-wuk, Sopirnya Ditegur Malah Nantangin!",https://oto.detik.com/berita/d-8167053/viral-pajero-pakai-tot-tot-wuk-wuk-sopirnya-ditegur-malah-nantangin,Otomotif,"Sabtu, 18 Okt 2025 18:09 WIB","Media sosial dihebohkan dengan video yang menampilkan Mitsubishi Pajero Sport menyalakan strobo atau 'tut-tut wuk-wuk' saat kondisi lalu lintas dengan padat. Kendaraan tersebut menggunakan pelat dinas Polri dan melaju di bahu jalan. Dilihat dari akun TikTok@otomotifrunning, perekam video menegur pengemudi Pajero Sport yang menyalakan strobo ketika jalanan sedang macet-macetnya. Namun, bukannya meminta maaf atau patuh, pengemudi kendaraan tersebut justru membuka jendela, kemudian melontarkan kalimat dengan nada menantang. SCROLL TO CONTINUE WITH CONTENT ""Mau diviralin ya? Mau diviralin? Jangan kayak begitu,"" demikian ujar pengemudi Pajero Sport berstrobo tersebut kepada si perekam video, dikutip Sabtu (18/10). [Gambas:Instagram] Sayangnya, tidak diketahui pasti, apa alasan pengemudi Pajero Sport tersebut menyalakan strobo atau tut-tut wuk-wuk saat jalanan sedang ramai. Padahal, ketika jendela kendaraan dibuka, dia tak sedang terburu-buru. Bahkan, dia hanya mengenakan pakaian santai dengan penumpang wanita di sisinya. Hingga tulisan ini dimuat, video singkat tersebut sudah disaksikan 4,5 juta kali dan mendapat hampir 7 ribu komentar. Kebanyakan menyayangkan aksi pengemudi Pajero yang terlihat arogan dan 'petantang-petenteng'. Diberitakan sebelumnya, Korps Lalu Lintas (Korlantas) telah mengambil langkah tegas soal penggunaan strobo dan rotator di jalan raya. Mereka membekukan pemakaian dua perangkat tersebut, namun pengawalan khusus terhadap pejabat tertentu tetap dilaksanakan. ""Kami menghentikan sementara penggunaan suara-suara itu, sembari dievaluasi secara menyeluruh. Pengawalan tetap bisa berjalan, hanya saja untuk penggunaan sirene dan strobo sifatnya dievaluasi. Kalau memang tidak prioritas, sebaiknya tidak dibunyikan,"" ujar Kepala Korps Lalu Lintas (Kakorlantas) Polri Irjen Pol Agus Suryonugroho, beberapa pekan lalu. Lebih jauh, Agus menekankan, penggunaan sirene hanya boleh dilakukan pada kondisi tertentu yang benar-benar membutuhkan prioritas. Bukan asal-asalan demi mengejar kecepatan. ""Kalau pun digunakan, sirene itu untuk hal-hal khusus, tidak sembarangan. Sementara ini sifatnya imbauan agar tidak dipakai bila tidak mendesak,"" tegasnya. Keputusan bijak tersebut diambil sebagai bentuk respons positif atas aspirasi masyarakat yang merasa terganggu dengan penggunaan sirene dan strobo di jalan raya. ""Kami berterima kasih atas kepedulian publik. Semua masukan akan kami tindaklanjuti. Untuk sementara, mari bersama-sama menjaga ketertiban lalu lintas,"" kata dia."
"Pabrikan Mobil China Dulu Cuma Pengekor, Kini Jadi Pelopor",https://oto.detik.com/mobil/d-8166919/pabrikan-mobil-china-dulu-cuma-pengekor-kini-jadi-pelopor,Otomotif,"Sabtu, 18 Okt 2025 16:15 WIB","Wuhu-Pabrikan China dulu terkenal sering menduplikasi para produsen ternama di dunia. Tapi kini situasinya berubah, pabrikan China disebut jadi pelopor teknologi canggih di seluruh dunia. Merek mobil China kian masif masuk di industri otomotif global. Banyak pabrikan China berlomba-lomba menyajikan mobil berteknologi tinggi disertai dengan harga yang ramah di kantong. Padahal kalau dirunut dalam beberapa tahun ke belakang, industri otomotif China justru dihiasi dengan plagiarisme. Banyak model mobil meniru model lain. Desainnya bahkan cukup identik dengan deretan mobil Eropa. Sayangnya kalau bicara kualitas, mungkin masih jauh dari standar. Tapi itu cerita dulu, sekarang kondisinya sudah berbeda. SCROLL TO CONTINUE WITH CONTENT China yang dulu hanya meniru, sekarang justru jadi yang terdepan. Para produsen China sangat masif menjejali banyak negara di dunia. ""Dalam 10 tahun industri mobil China dari pengikut menjadi pelopor. Tahun lalu ekspor mobil China tiga tahun berturut-turut, ini melebihi dari total global,"" jelas Gubernur Anhui Wang Qingxian disela-sela Chery Global Innovation Conference 2025, Wuhu, Sabtu (18/10/2025). Diketahui produsen yang menjadi eksportir terbesar dari Negeri Tirai Bambu itu adalah Chery Group. Pada tahun 2025 misalnya, Chery tercatat mengirimkan 1.260.124 kendaraan pada semester pertama. Hal itu ditopang oleh deretan produk dari merek-merek di bawah naungan Chery, termasuk salah satunya Omoda Jaecoo. Transformasi teknologi pada mobil-mobil yang dijual Chery itu diminati di banyak negara. ""58 persen paten berasal dari China dan menjadikannya pemimpin hijau di industri otomotif dunia,"" tambah wang."
"Toyota Luncurkan Mobil Baru Pekan Depan, Begini Bocorannya!",https://oto.detik.com/mobil/d-8166850/toyota-luncurkan-mobil-baru-pekan-depan-begini-bocorannya,Otomotif,"Sabtu, 18 Okt 2025 15:24 WIB","Produsen roda empat asal Jepang, Toyota, akan meluncurkan mobil terbaru untuk konsumen domestik. Kendaraan bertampang gagah itu digadang-gadang bernama Toyota Land Cruiser FJ dan akan melakoni debutnya pekan depan. Disitat dariGaadiwaadidanCarscoops, Sabtu (18/10), Toyota Land Cruiser FJ baru benar-benar meluncur Selasa (21/10), namun sejumlah media di Jepang sudah bisa meliput unitnya mulai Senin (20/10) atau sehari lebih awal. SCROLL TO CONTINUE WITH CONTENT Setelah diluncurkan, Toyota Land Cruiser FJ kemungkinan besar akan 'tebar pesona' di pameran Japan Mobility Show atau JMS 2025. Sayangnya, belum diketahui pasti, berapa harga yang bakal dipatok pabrikan untuk kendaraan baru tersebut. Bukan hanya itu, hingga sekarang belum ada pengumuman resmi soal bagaimana spesifikasi Land Cruiser FJ. Namun, sejumlah bocoran sudah beredar. Misalnya, kendaraan itu menggunakan ladder frame platform seperti yang digunakan Hilux Champ. Dengan demikian, Land Cruiser FJ akan nyaman dipakai untuk off road di medan-medan pemula hingga medium. Kendaraan itu kemungkinan punya profil boksi dengan short overhangs dan pelapis dinding yang terbuka. Sementara untuk jantung mekanisnya disebut-sebut mengadopsi mesin bensin 2,7 liter naturally aspirated yang sama dengan dengan Toyota Fortuner dan Hilux. Mesin tersebut mampu menghasilkan tenaga 163 dk dan torsi 245 Nm. Kemudian transmisinya ada yang manual dan otomatis. Menurut informasi yang beredar, Land Cruiser FJ juga akan tersedia dalam varian bensin turbo, diesel dan hybrid. Namun, varian-varian tersebut kemungkinan tak akan muncul secara bersamaan. Sejauh ini, bocoran yang kami terima masih sangat terbatas, termasuk soal detail spesifikasi dan fitur-fitur kendaraan. Mari kita nantikan jawabannya pekan depan!"
"Gak Sangka, Segini Biaya Service Besar Suzuki Satria FU150 Produksi 2012",https://oto.detik.com/motor/d-8166783/gak-sangka-segini-biaya-service-besar-suzuki-satria-fu150-produksi-2012,Otomotif,"Sabtu, 18 Okt 2025 14:36 WIB","Bagi pemilik motor Suzuki pasti tahu benar, value for money klaim Suzuki bukan isapan jempol semata. Nah kali ini hal tersebut dibuktikan dari pemilik Suzuki Satria FU150 produksi 2012, saat melakukan service besar. 13 tahun menggunakan Suzuki Satria untuk beraktivitas sudah ratusan ribu kilometer sudah pasti dilalui. Tidak disangka, ternyata saat melakukan service besar hanya memakan biaya Rp 2.216.498. Jika melihat riwayat selama 13 tahun, jelas angka tersebut bisa dikatakan sangat murah, meski dengan catatan perawatan setiap bulannya harus rutin dilakukan, dan tidak semua bagian mengalami kerusakan. Service besar Suzuki Satria FU150 Tahun atau kelahiran 2012 memang terbilang Tricky atau sulit, karena pemeriksaan secara menyeluruh harus benar-benar dilakukan, mengingat usia 'tidak lagi muda'. SCROLL TO CONTINUE WITH CONTENT ""Wah ini harus diperiksa secara menyeluruh. Lihat ini mesin oli yang rembes di ruang mesin. Dan ini klakson sudah tidak berfungsi ya,"" ujar mekanik dealer Suzuki motor, Heru, PT Indo SunMotor Gemilang (ISG) sebagai subsidiaries dari PT Suzuki Indomobil Sales (SIS) untuk roda dua (R2). Wal hasil service besar pun dilakukan dengan membongkar mesin. Hasilnya untuk service secara total menghabiskan dana hingga Rp 2.216.498. Berikut penggantian part yang dilakukan. 1. SB2. CEK SEMUA ESTIMASI KERUSAKAN 1. SERVICE BESAR : Rp 198.1982. SKIR KLEP (NEW) : Rp 79.2793. OVERBOS BAUT : Rp 76.577 1. 09289-04002-000 / SEAL,VALVE STEM OIL (4 Piece) : Rp 37.8362. 09482-00457-000 / SPARK PLUG U24ESR-N (1 Piece): Rp 19.3693. 11141-25G10-000 / GASKET CYLINDER HEAD (1 Piece): Rp 69.3694. 11173-47E10-000 / GASKET CYLINDER HEAD COVER NO.1 (1 Piece): Rp 53.6045. 11483-25G10-000 / GASKET MAGNETO COVER(NA) (1 Piece): Rp 13.0636. 12100-25G10-0F0 / PISTON KIT STD (1 Piece): Rp 170.2707. 12614-25G00-000 / CLUCTH STARTER ONE WAY (CXR53425-1&N-Y) (1 Piece): Rp 429.279.8. 12760B25G01N000 / CHAIN COMP, CHAMSHAFT DRIVE (1 Piece): Rp 108.108.9. 12771-25G10-000 / GUIDE CAM CHAIN NO.1 (1 Piece): Rp 19.820.10. 12811-25G10-000 / TENSIONER,CAM CHAIN (1 Piece): Rp 45.49511. 12837-12K00-000 / GASKET,TENSIONER ADJUSTER(NA) (1 Piece): Rp 4.054.12. 12891-25G10-000 / TAPPET (4 Piece): Rp 138.740.13. 12911-16E00-000 / VALVE INTAKE (2 Piece): Rp 63.964.14. 12912-16E00-000 / VALVE,EXHAUST (2 Piece): Rp 105.406.15. 14181-47E20-000 / GASKET EXH PIPE(NA) 1 Piece): Rp 8.108.16. 16510-45H20-000 / FILTER ENGINE OIL (1 Piece): Rp 8.108.17. 37400-25G20-000 / SWITCH ASSY,HANDLE LH (1 Piece): Rp 286.486.18. 990G0-21050-001 ECSTAR 10W40 SL MA SS (1L) (1 Piece): Rp 61.712. Sehingga memiliki biaya part perbaikan mencapai Rp 1.996.845, ditambah PPN 12 persen sebesar Rp 219,653, mencapai total biaya service besar mencapai Rp 2.216.498. Bagaimana detikers, murah banget kan?"
"Daftar Harga Motor Suzuki di Indonesia, Termurah Rp 20 Jutaan",https://oto.detik.com/motor/d-8166633/daftar-harga-motor-suzuki-di-indonesia-termurah-rp-20-jutaan,Otomotif,"Sabtu, 18 Okt 2025 12:43 WIB","Harga motor Suzuki di Indonesia saat ini sudah tak ada yang di bawah Rp 20 juta. Bahkan, produk termurah mereka, yakni Suzuki Nex II banderolnya sudah tembus 'kepala dua'. Disitat dari laman resmi Suzuki Indonesia, Jumat (17/10), Suzuki Nex II sebagai produk termurah saat ini ditawarkan mulai dari Rp 20,18 juta. Sementara Nex Crossover sebagai varian semi off-road dibanderol mulai dari Rp 21,26 jutaan. Keduanya berstatuson the roadJakarta. SCROLL TO CONTINUE WITH CONTENT Skuter matik termahal yang dijual Suzuki di Indonesia adalah Burgman Street 125 EX. Kendaraan bertubuh gambot tersebut ditawarkan mulai dari Rp 26,5 jutaan. Nominal itu lebih mahal Rp 1 jutaan dibandingkan Suzuki Access 125 yang berstatus sebagai produk terbaru pabrikan. Produsen asal Jepang itu juga masih menjual motor bebek di Indonesia, yakni Suzuki Satria F150 yang dibanderol mulai Rp 29 jutaan. Kemudian motor sport-nya ada tiga model dan mengisi segmen 125 serta 250cc. Biar tak penasaran, berikut kami rangkum daftar harga motor Suzuki di Indonesia per Oktober 2025."
Pesta Pengguna Chery dari Seluruh Dunia Dimulai,https://oto.detik.com/mobil/d-8166566/pesta-pengguna-chery-dari-seluruh-dunia-dimulai,Otomotif,"Sabtu, 18 Okt 2025 11:33 WIB","Chery Group bersiap memasuki babak baru dalam perjalanannya dengan menyelenggarakan Chery International User Summit 2025 di Wuhu, China, yang mulai berlangsung pada Jumat (17/10/2025) kemarin. detikOto melakukan perjalanan total sekitar 12 jam menggunakan pesawat dan bus menuju kota Wuhu yang juga menjadi markas besar dari Chery untuk menghadiri hajatan akbar berskala global yang dihadiri peserta dari berbagai negara. Hajatan ini bukan sekadar pameran teknologi, melainkan sebuah puncak perayaan bagi lebih dari 17,72 juta pengguna Chery di seluruh dunia. SCROLL TO CONTINUE WITH CONTENT Melalui ajang tersebut, Chery menegaskan evolusinya dari produsen kendaraan menjadi rekan pencipta ekosistem gaya hidup global, yang berpusat pada visi ""People Â· Cars Â· Family"". Chery International User Summit 2025 menjadi momen krusial dimana Chery dan jutaan penggunanya akan merefleksikan pencapaian bersama dalam sejarah pabrikan yang sudah berumur 28 tahun ini. Dari pantauan detikOto, Chery International User Summit diikuti oleh semua brand di bawah Chery Group, dari merek Chery sampai high end seperti Lepas. Chery juga menampilkan inovasi lainnya seperti AiMOGA Robotics dan robot anjing Argos, hingga pengembangan produk gaya hidup hasil ko-kreasi yang mengubah imajinasi pengguna menjadi fitur nyata. Puncak dari seluruh inovasi Chery akan tersaji melalui Chery International Eco-Exhibition, yang menjadi pusat perhatian utama dalam rangkaian acara Chery International User Summit 2025. Pameran ini akan menampilkan keseluruhan matriks ekosistem WCWL (With Chery With Love), dimana pengunjung akan diajak menyelami perjalanan globalisasi dan evolusi multi-brand, serta menyaksikan secara langsung Chery Super Hybrid (CSH) sebagai teknologi hybrid terdepan dunia. Setiap area dalam pameran dirancang untuk menampilkan kekuatan dan keunikan dari setiap sub-merek, mulai dari Chery, OMODA & JAECOO, EXCEED, LEPAS, hingga iCAR dengan filosofi ""classic never fades"". Bagi pecinta gaya hidup elegan, LEPAS Global Boutique Store sebagai butik global pertama Chery yang akan menghadirkan pengalaman personal yang menonjolkan keunikan gaya hidup modern, dirancang untuk berbagai karakter dan aspirasi pengguna."
"Beli Mobil Makin Mudah Aja, di Mall Aja Bisa!",https://oto.detik.com/mobil/d-8166447/beli-mobil-makin-mudah-aja-di-mall-aja-bisa,Otomotif,"Sabtu, 18 Okt 2025 10:47 WIB","Trend kemudahan dalam melakukan transaksi ikut merambah ke industri otomotif. Kini mencari informasi atau beli mobil tidak perlu repot datang ke dealer, cukup datang ke mall saja. Strategi ini coba dilakukan produsen mobil asal China Geely, yang coba merayu pecinta otomotif Indonesia dengan membuka dealer di dalam mall. Di bawah bendera Andalan Motors Geely resmi membuka showroom city store Geely Andalan Lippo Mall Kemang, showroom pertama Geely yang dikelola oleh Andalan Motor Group di Jakarta. Dalam siaran resmi yang diterima detikOto, pembukaan ini menjadi langkah penting bagi Andalan Motors dalam memperluas portofolionya setelah sebelumnya sukses mengelola berbagai merek otomotif ternama dan sudah berdiri sejak tahun 2007. SCROLL TO CONTINUE WITH CONTENT Selanjutnya dijelaskan pemilihan Lippo Mall Kemang sebagai lokasi showroom pertama Geely Andalan dinilai sangat strategis. Kawasan ini memiliki visibilitas tinggi, akses mudah, serta karakter demografis yang sesuai dengan target pasar Geely, yakni kalangan urban modern dengan daya beli tinggi dan minat kuat terhadap teknologi otomotif terbaru. Selain menjadi pusat gaya hidup premium di Jakarta Selatan, kehadiran showroom di Kemang memperkuat citra Geely sebagai merek global yang modern, elegan, dan relevan dengan gaya hidup perkotaan masa kini. ""Kami sangat bangga menjadi mitra dari brand Geely sebagai salah satu brand portfolio dari Andalan, karena Geely sendiri merupakan salah satu brand otomotif terkemuka dari China. Kami berharap dapat memberikan produk terbaik kepada para konsumen kami,"" Chief Executive Officer Andalan Motors, Raynaldi Setiawan. Acara grand opening berlangsung meriah pada Kamis, 16 Oktober 2025 di Lippo Mall Kemang, Jakarta Selatan. Dihadiri oleh jajaran manajemen Andalan Motors, perwakilan Geely Auto Indonesia, manajemen Lippo Kemang, media, serta para tamu undangan. Acara ini menjadi momentum simbolis bagi kolaborasi dua nama besar di industri otomotif. ""Geely Lippo Kemang menjadi outlet pertama dari Geely Andalan, dan kami yakin lokasi ini sangat strategis dalam memasarkan product kendaraan Geely dan akses yang sangat mudah kepada konsumen"", Raynaldi menambahkan. Terakhir, setelah pembukaan di Kemang, Andalan Motors berencana memperluas jaringan dealer Geely ke wilayah lain di Jabodetabek dan kota besar lain di Indonesia. Dengan pengalaman panjang dalam mengelola berbagai brand otomotif, Andalan Motors optimistis mampu menghadirkan standar pelayanan yang tinggi untuk mendukung pertumbuhan Geely di pasar nasional."
"Tips Pasang Lampu Biled di Mobil, Bisa Plug and Play?",https://oto.detik.com/tips-and-tricks-mobil/d-8166363/tips-pasang-lampu-biled-di-mobil-bisa-plug-and-play,Otomotif,"Sabtu, 18 Okt 2025 08:03 WIB","Lampu biled semakin digemari karena menawarkan cahaya yang lebih terang, fokus, dan memiliki cutoff rapi sehingga tidak menyilaukan. Namun pertanyaannya, apakah pemasangan biled bisa langsung plug and play? Wildan, Sales Manager PRO7 Indonesia menjelaskan pemasangan Bi-Led harus rapi, kokoh, dan tidak asal tempel. Proses pemasangan yang salah berpotensi membuat lampu goyang atau overheat. ""Instalasi yang proper,"" kata Wildan. SCROLL TO CONTINUE WITH CONTENT Selanjutnya memperhatikan jumlah relay, ketebalan kabel, dan fuse yang sesuai dengan kebutuhan daya. ""â Penggunaanwiringyang sesuai dengan watt pada biled,"" ungkap dia. Tak kalah penting, Dia menyebut pengaturan cutoff, - batas atau garis pemotong cahaya yang membedakan area terang dan gelap di depan kendaraan. Cutoff ini berfungsi agar cahaya tidak menyilaukan pengendara dari arah berlawanan. Soal plug and play. Pemasangan Bi-LED membutuhkan penyesuaian teknis agar hasilnya maksimal dan tidak membahayakan pengguna jalan lain. Baru-baru ini PRO7 meluncurkan produk P730RS yang hadir sebagai paket lengkap yang sudah termasuk headlamp dan foglamp. Produk ini merupakan kolaborasi antara PRO7 dengan RANS. Soal spesifikasinya, lampu P730RS sudah dibekali headlamp dan foglamp dengan warna cahaya putih 5.700K. Untuk bagian headlamp, lampu ini punya dua mode: low beam 55 watt untuk sorotan pendek dan high beam 65 watt untuk sorotan jauh, dengan ukuran lensa 3 inci. Sementara foglamp-nya juga punya dua mode, yaitu 40 watt (low) dan 50 watt (high) dalam ukuran yang sama. Kualitas cahayanya tebal dan merata, tidak menyebar sembarangan. Lampu ini juga punya cutoff yang rapi, artinya sorotan cahaya dibatasi dengan jelas agar tidak menyilaukan kendaraan dari arah berlawanan, tapi tetap memberikan jarak pandang yang jauh dan jelas saat berkendara malam hari. ""Melalui P730RS, kami ingin menghadirkan pengalaman berkendara malam yang aman dan nyaman bagi semua orang. Dengan harga terjangkau, pengendara bisa menikmati kualitas pencahayaan setara produk premium,"" ujar Markus Hermawan, CEO PRO7 Indonesia. Produk P730RS dapat digunakan untuk berbagai jenis mobil yang memiliki ukuran lampu 3 inci, seperti Grand Innova, VNT, dan model lain. Dengan harga paket Rp3.850.000, pengguna sudah mendapatkan set lengkap headlamp dan foglamp. ""Kami merancang P730RS agar mudah diaplikasikan dan cocok untuk berbagai mobil. Pemasangan umumnya hanya memerlukan waktu 3-4 jam dan sudah plug & play (PNP),"" tambah Wildan, Sales Manager PRO7 Indonesia."
Pemerintah Bakal Uji BBM Etanol 10% di Iklim Tropis Indonesia,https://oto.detik.com/berita/d-8166338/pemerintah-bakal-uji-bbm-etanol-10-di-iklim-tropis-indonesia,Otomotif,"Sabtu, 18 Okt 2025 07:33 WIB","Kementerian Energi dan Sumber Daya Mineral (ESDM) bakal menguji kecocokan bahan bakar minyak (BBM) dengan kandungan etanol 10 persen untuk negara tropis seperti Indonesia. Mereka akan menggandeng sejumlah industri otomotif di dalam negeri. Kepastian tersebut disampaikan Direktur Jenderal Energi Baru, Terbarukan, dan Konservasi Energi (EBTKE) Kementerian ESDM Eniya Listiani Dewi setelah penandatanganan nota kesepahaman di Kementerian ESDM, Jakarta. SCROLL TO CONTINUE WITH CONTENT ""Jadi pengujiannya menyeluruh, statistiknya mesin-mesin seperti apa, korosif atau nggak, filternya diganti berapa, atau karetnya seperti apa, ini nanti akan persis seperti (uji) biodiesel,"" ujar Eniya Listiani Dewi, dikutip dariAntaranews. Masyarakat Indonesia sejauh ini masih menyimpan sejumlah kekhawatiran terhadap BBM dengan kandungan etanol, salah satunya saat dipakai di daerah dengan iklim tropis. Selain itu, mereka juga khawatir kandungan tersebut membuat komponen kendaraan mereka korosi. Pengimplementasian etanol, kata dia, direncanakan untuk diterapkan pada 2-3 tahun ke depan, sehingga memberi ruang bagi pemerintah untuk melakukan pemutakhiran. ""Dua-tiga tahun ke depan, sekitar 2028,"" kata Eniya. Menariknya, Eniya menegaskan, penerapan bioetanol saat ini belum menjadi bagian dari mandatori. Bioetanol yang dijual Pertamina dalam bentuk Pertamax Green juga merupakan bagian dari uji pasar, sehingga masyarakat masih memiliki opsi untuk membeli BBM yang lain. ""Nanti bioetanol kami mandatorikan ke wilayah non-PSO dulu, seperti sekarang uji pasar yang 5 persen kan sudah berjalan,"" kata dia. Diberitakan sebelumnya, Menteri Energi dan Sumber Daya Mineral (ESDM) Bahlil Lahadalia mengatakan masih menyusun peta jalan atauroad mappengimplementasian E10 atau bahan bakar minyak (BBM) yang mengandung etanol sebesar 10 persen. Rencana untuk mengembangkan E10 berangkat dari keberhasilan pemerintah mengimplementasikan biodiesel, dari yang semula B10 atau campuran 10 persen minyak mentah sawit (crude palm oil/CPO) dengan 90 persen solar untuk bahan bakar diesel. Kebijakan biodiesel tersebut sudah berkembang hingga B40. Bahkan untuk 2026, pemerintah menargetkan pengimplementasian B50. Menteri ESDM menjelaskan implementasi E10 masih menunggu persiapan pabrik etanol, baik yang berbahan baku tebu maupun singkong. Langkah tersebut selaras dengan arahan Presiden Prabowo Subianto soal pembangunan industri etanol."
"Perusahaan Rental TRAC 'Panen' Cuan dari UMKM, Gran Max Jadi Bintang",https://oto.detik.com/mobil/d-8165982/perusahaan-rental-trac-panen-cuan-dari-umkm-gran-max-jadi-bintang,Otomotif,"Jumat, 17 Okt 2025 20:09 WIB","Perusahaan rental mobil yang dikelola Serasi Autoraya (Sera) anak perusahaan Astra International, TRAC ternyata sudah lima tahun terakhir fokus menggarap sektor Usaha Mikro, Kecil, dan Menengah (UMKM). TRAC melihat potensi pertumbuhan yang sangat besar dari segmen UMKM. ""Rata-rata per tahun, pertumbuhan bisnis kami untuk UMKM sebesar 20-25 persen. Ke depan, potensi pertumbuhannya masih besar,"" ujar Chief Operating Officer TRAC Halomoan Fischer dalam keterangannya, dikutip Jumat (17/10/2025). SCROLL TO CONTINUE WITH CONTENT Sebelumnya, perusahaan yang berada di payung PT Serasi Autoraya (Sera) ini lebih menyasar korporasi besar. Namun, dalam 5 tahun terakhir, TRAC secara intensif menggaet pelaku UMKM. Dia menjelaskan saat ini porsi rental mobil TRAC untuk UMKM sebesar 40 persen, sedangkan kue terbesar yakni 60 persen masih untuk korporasi besar. Sektor UMKM pada jasa pengiriman akan terus bertumbuh. Apalagi didorong pertumbuhan transaksi digital. Fakta lain, rental mobil dari TRAC yakni Daihatsu Gran Max jenis blind van untuk sektor ini semakin membesar. Permintaan rental untuk jenis mobil itu tumbuh 20-30 persen dalam lima tahun terakhir ini dengan meningkatnya transaksi e-commerce. Saat ini, TRAC memiliki armada Gran Max sekitar 7.000 unit. Menurut Fischer, permintaan untuk mobil itu akan terus meningkat, apalagi e-commerce yang masih tumbuh. ""Kenaikannya memang tidak terjal seperti saat masa Covid-19,"" ujarnya. ""Bisnis rental untuk korporasi besar masih ada pertumbuhan, walaupun kecil. Tetapi kompetisinya di lini ini ketat. Sedangkan UMKM, tumbuhnya besar, bahkan potensi tumbuh 50 persen pun memungkinkan,"" tutur Fischer. Hal senada dikatakan Direktur PT Sera Hadi Winarto. Menurut dia, sektor UMKM masih tetap menjanjikan di tengah rendahnya Indeks PMI (Purchasing Managers' Index) sektor manufaktur di Indonesia. Apalagi masih banyak UMKM yang bisa digarap di luar sektor jasa pengiriman. Fischer mengakui, permintaan mobil Gran Max tinggi karena produknya andal dan sudah teruji digunakan pelanggan TRAC. Apalagi, banyak UMKM menggunakan mobil itu untuk pengiriman paket hingga ke daerah pelosok dengan medan yang sulit. Sebelumnya, sejumlah anggota komunitas Gran Max di sejumlah daerah mengakui hal itu. Salah satunya, M Nasir, pengurus Pick Up Sulawesi, komunitas yang berdiri sejak 2018. Menurut dia, dari total sekitar 4.300 anggota komunitas di seluruh Sulawesi, lebih dari 80 persen menggunakan Gran Max untuk armada angkutnya. Menurut Nasir, Gran Max PU unggul dalam kemampuan angkut yang besar, hanya dengan sedikit modifikasi, bisa mengangkut beban hingga 3 ton. ""Walaupun mengangkut muatan berat, tetapi Gran Max tidak limbung. Ini mobil andal, daya dorongnya kuat, konsumsi BBM-nya irit, harga belinya juga terjangkau,"" tutur Nasir. Ia menambahkan, alasan banyak anggota komunitas yang tidak beralih ke merek lain ketika ingin menambah armada adalah karena jaringan bengkel Daihatsu dan ketersediaan suku cadangnya luas hingga ke pelosok."
