Title,Link,Category,Time,Content
KAI Imbau Penumpang untuk Jaga Barang Bawaan,https://money.kompas.com/read/2025/01/01/214700026/kai-imbau-penumpang-untuk-jaga-barang-bawaan,Finance,"01/01/2025, 14:47 WIB","KOMPAS.com -Seluruh penumpang kereta api diimbau untuk lebih memperhatikan dan menjaga barang bawaannya selama berada di stasiun maupun saat dalam perjalanan. Selama bulan Desember 2024, PT Kereta Api Indonesia (KAI) Daerah Operasi (Daop) 6 Yogyakarta mengamankan sebanyak 82 barang tertinggal dengan total kisaran mencapai Rp 247.850.000. Manager Humas Daop 6 Yogyakarta Krisbiyantoro menuturkan, barang tertinggal yang ditemukan berupa dompet, handphone, jam tangan, uang tunai, hingga laptop. Untuk itu, penumpang diimbau menjaga barang bawaan masing-masing, terlebih ketika terjadi peningkatan volume penumpang di momen tertentu seperti libur Natal dan Tahun Baru (Nataru). ""Dengan meningkatnya volume penumpang, potensi terjadinya kesalahan membawa barang atau tertukar barang orang lain serta tertinggalnya barang di stasiun maupun di kereta menjadi lebih tinggi,"" kata Krisbiyantoro kepada Kompas.com, Rabu (1/1/2025). ""Simpan barang bawaan di tempat yang aman dan mudah diawasi. Jangan meninggalkan barang bawaan tanpa pengawasan untuk menghindari risiko kehilangan,"" tuturnya. Selain itu, penumpang dapat memeriksa barang bawaan sebelum meninggalkan area stasiun atau gerbong kereta, dan memastikan semua barang telah dibawa sesuai dengan jumlah dan jenisnya. ""Selalu cek label dan ciri khas barang bawaan Anda untuk memastikan barang tersebut memang milik Anda,"" tegas dia. Bagi penumpang yang kehilangan barang atau barang tertinggal dapat menghubungi petugas KAI di stasiun ataucontact centerKAI di 121. “Kami berharap penumpang dapat lebih peduli terhadap barang bawaan mereka masing-masing. Tidak meletakkan barang pada lorong jalan di dalam kereta. Selain untuk menjaga kenyamanan, ini juga penting untuk menjaga kelancaran perjalanan bersama,” pungkas Krisbiyantoro. Baca juga:Cara Mudah Ganti Jadwal Tiket Kereta Api Online Tanpa ke Stasiun"
Penerbangan Umrah di Bandara Soetta Pindah ke Terminal 2F Mulai Akhir Januari 2025,https://money.kompas.com/read/2025/01/01/213000426/penerbangan-umrah-di-bandara-soetta-pindah-ke-terminal-2f-mulai-akhir-januari,Finance,"01/01/2025, 14:30 WIB","JAKARTA, KOMPAS.com- Terminal 2F Bandara Internasional Soekarno-Hatta (Soetta) di Tangerang, Banten akan difungsikan menjadi terminal khusus jemaah umrah mulai akhir Januari 2025. Nantinya jemaah umrah yang berangkat dari Bandara Soetta tidak lagi menunggu pesawat di Terminal 3, melainkan secara bertahap dipindah ke Terminal 2F. Menteri Badan Usaha Milik Negara (BUMN) Erick Thohir mengatakan, penataan terminal khusus jemaah umrah ini untuk mengurai kepadatan di Terminal 3, sekaligus meningkatkan layanan penerbangan umrah. Nanti juga untuk yang reguler saya tadi sudah minta dirapikan,"" ujarnya saat meninjau Terminal 2F Bandara Soetta, Tangerang Rabu (1/1/2025). Pada kesempatan yang sama, Direktur Utama PT Angkasa Pura Indonesia atau InJourney Airports Faik Fahmi menjelaskan, maskapai yang melayani penerbangan umrah langsung ke Jeddah, Arab Saudi nantinya akan dipindah ke Terminal 2F. Saat ini hanya maskapai Lion Air yang melayani penerbangan langsung ke Jeddah dari Terminal 2F. Nantinya maskapai Saudi Airlines dan Garuda Indonesia akan turut melakukan penerbangan langsung ke Jeddah dari Terminal 2F, pindah dari Terminal 3. ""Kita akan lakukan secara bertahap. Jadi paling tidak kita akan mulai di akhir bulan Januari ini,"" kata Faik. Selanjutnya dari Terminal 2F akan diantarkan dengan bus untuk naik pesawat di Terminal 3. ""Nah kalau untuk maskapai-maskapai yang mixed passenger, misalnya yang tidak direct langsung ke Jeddah, lewat negara lain, karena ada penumpang yang reguler dan umrah, yang umrahnya lewat sini (Terminal 2F), tapi yang reguler tetap di sana (Terminal 3). Nanti dari sini ada bus yang kita siapkan untuk dibawa ke Terminal 3,"" papar dia. Faik mengatakan, Bandara Soetta melayani sekitar 10.000 penumpang yang ibadah umrah, terdiri dari 5.000 keberangkatan dan 5.000 kedatangan. Seperti fasilitas ruang tunggu khusus jemaah umrah dan masjid yang luas. ""Kemudian ada area meet and greet di keberangkatan dan di kedatangan, itu juga menyelesaikan kebutuhan mereka. Karena selama ini kalau di Terminal 3, kita tidak bisa menyiapkan fasilitas yang untuk jemaah dalam jumlah banyak,"" kata Faik."
Cara Lapor Barang Tertinggal di Kereta Api atau Stasiun,https://money.kompas.com/read/2025/01/01/211714726/cara-lapor-barang-tertinggal-di-kereta-api-atau-stasiun,Finance,"01/01/2025, 14:17 WIB","KOMPAS.com- PT Kereta Api Indonesia (KAI) Daerah Operasi (Daop) 2 Bandung mencatat keberhasilan dalam mengamankan barang tertinggal dengan nilai total sekitar Rp 2 miliar sepanjang tahun 2024. Barang-barang tersebut ditemukan di berbagai lokasi, termasuk stasiun dan kereta api, dan sebagian besar telah berhasil dikembalikan kepada pemiliknya. Executive Vice President KAI Daop 2 Bandung, Dicky Eka Priandana, menjelaskan bahwa barang yang sering tertinggal mencakup laptop, perhiasan, telepon seluler, tas, dompet, hingga paspor milik warga negara asing. 953 barang selama 2024. “Barang bawaan pelanggan merupakan tanggung jawab masing-masing, tetapi kami berupaya memberikan layanan maksimal dengan membantu mengamankan barang tertinggal,” ujar Dicky di Bandung, Rabu (1/1/2025), dikutip dariAntara. Tetap Tenang dan Ingat Lokasi Terakhir Jangan panik, dan cobalah untuk mengingat lokasi terakhir barang Anda terlihat. 2. Lapor ke Petugas di Stasiun atau Kereta Sampaikan laporan kepada petugas Customer Service On Station, petugas keamanan, atau bagian Lost and Found. Jika berada di kereta, hubungi kondektur yang sedang bertugas. 3. Hubungi Contact Center KAI 121 Anda dapat melapor melalui: 4. Berikan Informasi Detail Sebutkan ciri-ciri barang yang hilang, kode booking tiket (jika barang tertinggal di kereta), dan informasi relevan lainnya. 5. Pantau Status Barang Laporan yang masuk akan diproses, dan pelanggan akan menerima informasi status barang melalui telepon, email, atau Direct Message media sosial KAI121. 6. Hindari Memberikan Informasi Pribadi ke Pihak Tak Berkepentingan Pastikan informasi kode booking atau detail barang hanya diberikan kepada petugas resmi KAI. Barang yang tidak diambil oleh pemilik akan disimpan di pos pengamanan stasiun dan dimasukkan ke dalam sistem Lost and Found. Dicky mengimbau penumpang untuk selalu menjaga barang bawaan selama perjalanan dan menghindari membawa barang berlebih. Untuk barang dalam jumlah besar, pelanggan disarankan menggunakan layanan kargo KAI. Selain mengamankan barang tertinggal, KAI Daop 2 Bandung juga mencatat tingginya okupansi tiket selama periode Natal 2024 dan Tahun Baru 2025. Hingga 1 Januari 2025, sebanyak 275.175 tiket telah terjual (96,4 persen dari total kapasitas 285.552 tempat duduk). Tersisa 10.377 tiket yang masih tersedia. “Masyarakat dapat mengecek ketersediaan tiket secara berkala melalui aplikasi KAI,” ujar Dicky."
"Januari Masa Transisi, PPN 12 Persen Barang Mewah Berlaku Penuh 1 Februari 2025",https://money.kompas.com/read/2025/01/01/211616426/januari-masa-transisi-ppn-12-persen-barang-mewah-berlaku-penuh-1-februari-2025,Finance,"01/01/2025, 14:16 WIB","JAKARTA, KOMPAS.com- Kementerian Keuangan (Kemenkeu) telah menerbitkan Peraturan Menteri Keuangan (PMK) yang mengatur pengenaan tarif pajak pertambahan nilai (PPN) 12 persen untuk barang mewah. Aturanya adalah PMK Nomor 131 Tahun 2024 tentang Perlakuan Pajak Pertambahan Nilai Atas Impor Barang Kena Pajak, Penyerahan Barang Kena Pajak, Penyerahan Jasa Kena Pajak, Pemanfaatan Barang Kena Pajak Tidak Berwujud Dari Luar Daerah Pabean Di Dalam Daerah Pabean, Dan Pemanfaatan Jasa Kena Pajak Dari Luar Daerah Pabean Di Dalam Daerah Pabean. Dalam Pasal 5 butir a PMK 131 Tahun 2024 itu, pemerintah masih mengenakan tarif PPN 11 persen untuk barang mewah selama 1 sampai 31 Januari 2025. Jika nilai lain tersebut dikalikan dengan tarif 12 persen, maka akan didapati angka 11 persen. ""Mulai tanggal 1 Januari 2025 sampai dengan tanggal 31 Januari 2025, Pajak Pertambahan Nilai yang terutang dihitung dengan cara mengalikan tarif 12 persen dengan Dasar Pengenaan Pajak berupa nilai lain sebesar 11/12 dari harga jual,"" demikian bunyi Pasal 5 a PMK 131 Tahun 2024. Sementara mulai 1 Februari 2025, tarif PPN untuk barang mewah berlaku sebesar 12 persen secara penuh karena dasar pengenaan pajaknya berupa harga jual atau nilai impor langsung. ""Mulai tanggal 1 Februari 2025 berlaku ketentuan sebagaimana dimaksud dalam Pasal 2 ayat (2),"" bunyi Pasal 5 b PMK 131 Tahun 2024. "" Kepala Biro Komunikasi dan Layanan Informasi Deni Surjantoro menjelaskan, pemerintah memberlakukan masa transisi sepanjang Januari 2025 untuk kenaikan tarif PPN barang mewah. ""Anggap saja transisi kan. Nanti (kenaikan PPN jadi 12 persen) dimulai tanggal 1 Februari 2025. Kan juga kasihan kalau ada yang sudah inden Desember tahu-tahu ini sudah (naik PPN-nya di) Januari,"" ungkapnya saat dihubungi Kompas.com, Rabu (1/1/2025). Namun dia menegaskan, pemberlakuan PPN 11 persen barang mewah selama Januari 2025 ini hanya untuk di tingkat konsumen akhir alias masyarakat. ""Misalnya kamu beli mobil di dealer, berarti kamu konsumen akhir. Jadi selama Januari ini hitungannya harga jual mobil dikali 11/12, kemudian dikali 12 persen sehingga ketemunya tetap 11 persen,"" jelasnya. Sementara untuk tingkat pabrikan, distributor, developer, atau di atas konsumen akhir, tarif PPN barang mewah tetap berlaku PPN 12 persen pada Januari 2025. ""Pengenaan PPN itu hulu ke hilir. Jadi kalau di atas-atasnya (konsumen akhir) tetap langsung 12 persen. Misalnya dari pabrikan langsung ke distributor atau kemana, itu 12 persen. Kayak rumah mewah dari developer langsung,"" tuturnya."
"Pertamax Naik, Ini Perbandingan Harga BBM di SPBU Pertamina, Shell, Vivo, dan BP AKR",https://money.kompas.com/read/2025/01/01/205546826/pertamax-naik-ini-perbandingan-harga-bbm-di-spbu-pertamina-shell-vivo-dan-bp,Finance,"01/01/2025, 13:55 WIB","JAKARTA, KOMPAS.com– Memasuki awal tahun 2025, PT Pertamina (Persero) kembali menyesuaikan harga bahan bakar minyak (BBM) nonsubsidi di beberapa wilayah Indonesia. Penyesuaian harga BBM ini mulai berlaku pada 1 Januari 2025 dan mengikuti Keputusan Menteri (Kepmen) ESDM No. 245.K/MG.01/MEM.M/2022 yang merupakan revisi dari Kepmen No. 62 K/12/MEM/2020 terkait formula harga dasar BBM. Di wilayah Jabodetabek, kenaikan harga terjadi pada beberapa jenis BBM nonsubsidi Pertamina. Harga Pertamax (RON 92) naik menjadi Rp 12.500 per liter dari sebelumnya Rp 12.100 per liter. 700 per liter dari Rp 13.550 per liter. Harga Pertamax Green 95 (RON 95) kini dijual Rp 13.400 per liter, naik dari Rp 13.150 per liter. Dexlite naik menjadi Rp 13.600 per liter dari sebelumnya Rp 13.400 per liter, sementara Pertamina Dex meningkat menjadi Rp13.900 per liter dari Rp 13.800 per liter. Namun, harga BBM subsidi tidak mengalami perubahan, dengan Pertalite (RON 90) tetap di angka Rp 10.000 per liter dan Biosolar (subsidi) Rp 6.800 per liter. Produk Shell Super dengan RON 92 kini dibanderol Rp 12.930 per liter, naik Rp 640 dibandingkan harga Desember 2024 yang berada di angka Rp 12.290 per liter. Begitu pula produk Shell V-Power Diesel yang mengalami penyesuaian menjadi Rp 14.150 per liter. Pada SPBU BP AKR, produk BP 92 dengan RON 92 naik menjadi Rp 12.810 per liter, meningkat Rp 520 dari harga sebelumnya Rp 12.290 per liter. Selain itu, Vivo juga menyesuaikan harga BBM mereka, seperti pada produk Revvo 92 yang kini dijual Rp 12.770 per liter, naik Rp 547 dari harga Desember 2024 yang sebelumnya Rp 12.223 per liter. Baca juga:Dinilai Picu Maraknya PHK, Serikat Pekerja Minta Pemerintah Cabut Permendag 8/2024 Berikut perbandingan harga BBM di SPBU Pertamina, Shell, Vivo, dan BP AKR per 1 Januari 2025 khususnya di wilayah Jabodetabek:"
Bulog Akan Serap Semua Gabah dan Jagung Petani untuk Jaga Stabilitas Harga,https://money.kompas.com/read/2025/01/01/203116926/bulog-akan-serap-semua-gabah-dan-jagung-petani-untuk-jaga-stabilitas-harga,Finance,"01/01/2025, 13:31 WIB","JAKARTA, KOMPAS.com -Menteri Koordinator Bidang Pangan Zulkifli Hasan (Zulhas) memastikan serapan beras dari petani akan sepenuhnya ditampung oleh Bulog, sesuai instruksi Presiden Prabowo Subianto. Hal itu ditekankan Zulhas dalam Rapat Koordinasi Terbatas (Rakortas) Bidang Pangan di Semarang, Jawa Tengah, Selasa (31/12/2024). “Kita akan menghentikan impor beras dan bahan pangan lainnya. Bulog akan menyerap semua gabah dan jagung yang diproduksi oleh petani untuk menjaga stabilitas harga,” kata Zulhas dalam keterangan tertulis, Rabu (1/1/2025). Sudaryono meminta Perum Bulog menyerap hasil dari petani. Menurut Sudaryono, serapan hasil panen sangat penting untuk menjaga kestabilan harga pangan dan melindungi petani dari fluktuasi harga pascapanen. “Bulog harus memastikan serapan gabah petani, terutama di Jawa Tengah, sehingga harga pascapanen dapat tetap stabil. Ini adalah langkah penting agar petani tidak merugi,” kata Sudaryono. Dalam rapat terbatas terkait pangan di Istana Kepresidenan, Jakarta Pusat, Senin (30/12/2024), Presiden Prabowo memerintahkan agar seluruh produksi gabah kering dan jagung dari petani akan diserap pemerintah. Menurut Zulhas, keputusan tersebut merupakan keputusan berani dan bersejarah. Dalam rapat tersebut juga dibahas terkait tempat penyimpanan gabah atau beras dan jagung petani usai diserap pemerintah. “Tadi nyimpannya di mana, kami bahas sampai detail. Ada gudang Bulog, nanti akan dipergunakan. Ada gudang induk koperasi juga akan digunakan,” kata Zulhas. Adapun pemerintah memutuskan menaikkan harga pembelian pemerintah (HPP) terhadap gabah kering dan jagung di tingkat petani. Harga gabah kering panen (GKP) yang akan diserap pemerintah naik dari Rp 6.000 menjadi Rp 6.500 per kilogram. Kemudian, harga jagung naik dari Rp 5.000 menjadi Rp 5.500 per kilogram."
Cara Beli Token Listrik Diskon 50 Persen via PLN Mobile dan Dompet Digital,https://money.kompas.com/read/2025/01/01/194048426/cara-beli-token-listrik-diskon-50-persen-via-pln-mobile-dan-dompet-digital,Finance,"01/01/2025, 13:04 WIB","JAKARTA, KOMPAS.com- Diskon token listrik 50 persen kepada pelanggan rumah tangga PT PLN (Persero) dengan daya terpasang hingga 2.200 VA resmi berlaku mulai Rabu (1/1/2025) hari ini. Diskon listrik ini berlaku selama dua bulan, yakni pada Januari dan Februari 2025, sebagai bagian dari paket insentif ekonomi. Sebanyak 81,4 juta pelanggan rumah Tangga dengan daya 450 VA, 900 VA, 1.300 VA, dan 2.200 VA akan mendapatkan potongan tarif listrik secara otomatis melalui sistem PLN. Harga token yang dibayarkan cukup setengah dari pembelian bulan sebelumnya untuk mendapatkan jumlah kWh yang sama. Lalu, bagaimana cara beli token listrik diskon 50 persen ini? berikut penjelasannya."
"Setop Impor Beras dan Jagung, Kementan Siapkan 90.000 Ton Benih Unggul",https://money.kompas.com/read/2025/01/01/185605726/setop-impor-beras-dan-jagung-kementan-siapkan-90000-ton-benih-unggul,Finance,"01/01/2025, 11:56 WIB","JAKARTA, KOMPAS.com- Kementerian Pertanian (Kementan) menyiapkan 90.000 benih unggul padi dan jagung yang akan ditanam di lahan seluas 3,7 juta hektar pada tahun ini. Wakil Menteri Pertanian (Wamentan) Sudaryono mengatakan, penyediaan benih unggul ini akan difokuskan di daerah-daerah dengan indeks pertanaman (IP) yang masih rendah. Tujuannya untuk meningkatkan hasil panen dan mendukung ketahanan pangan di seluruh Indonesia. Sudaryono mengatakan, penyediaan benih unggul dapat meningkatkan produktivitas padi 15 hingga 20 persen. Oleh karena itu, Kementan berfokus pada distribusi benih berkualitas untuk petani di seluruh Indonesia. Dalam kesempatan tersebut, Sudaryono juga mendorong Perum Bulog untuk menyerap hasil panen petani, terutama di Jawa Tengah yang merupakan salah satu lumbung pangan nasional. Empat komoditas itu antara lain beras konsumsi, gula konsumsi, garam konsumsi, dan jagung untuk pakan ternak pada 2025. Keputusan itu diungkapkan Menteri Koordinator Bidang Pangan Zulkifli Hasan alias Zulhas usai rapat neraca komoditas pangan di kantor Kemenko Pangan, Graha Mandiri, Jakarta Pusat, 9 Desember 2024. “Jadi satu, tidak impor jagung untuk pakan. Tidak impor garam untuk konsumsi. Tidak impor gula untuk konsumsi. Keren kan? Tidak impor beras untuk konsumsi,” kata Zulhas dalam konferensi pers. Untuk beras, Zulhas mengatakan bahwa target produksi beras pada 2025 sebanyak 32 juta ton. Sementara itu, kebutuhan diperkirakan 31 juta ton. “Jagung kebutuhannya 13 juta ton. Lebih, bisa ekspor kita,” kata Zulhas."
Berapa Batas Maksimal Beli Token Listrik Diskon 50 Persen?,https://money.kompas.com/read/2025/01/01/185058526/berapa-batas-maksimal-beli-token-listrik-diskon-50-persen,Finance,"01/01/2025, 11:50 WIB","KOMPAS.com -Diskon token listrik 50 persen yang berlaku pada Januari dan Februari 2025 memiliki batas maksimal. Artinya, pelanggan prabayar tidak bisa membeli token listrik melebihi batas yang sudah ditetapkan. Diskon listrik 2025 diberikan kepada pelanggan dengan daya listrik terpasang 450 VA, 900 VA, 1.300 VA, dan 2.200 VA, sebagai bagian dari kebijakan insentif untuk mengurangi dampak PPN naik 12 persen per 1 Januari 2025. ""Untuk mengurangi beban pengeluaran rumah tangga, daya listrik terpasang di bawah 2.200 VA diberikan biaya diskon (listrik) sebanyak 50 persen untuk 2 bulan (Januari dan Februari 2025),"" kata Airlangga dikutip Kompas.com pada 16 Desember 2024. Teknisnya, diskon token listrik 50 persen bagi pelanggan prabayar secara otomatis akan menyesuaikan. Sebagai contoh, pembelian token listrik normal Rp 100.000 akan mendapatkan 63,6 kWh, adanya diskon listrik 50 persen pelanggan mendapatkan 127,2 kWh. Lalu, berapa batas maksimal pembelian token listrik diskon 50 persen pada Januari dan Februari 2025? com(1/1/2024), pembatasan pembelian token listrik sesuai daya terpasang dilakukan untuk memastikan semua pelanggan mendapatkan diskon listrik secara merata. Batas maksimal pembelian token listrik tarif diskon 50 persen sesuai daya terpasang sebagai berikut: KOMPAS.com (Aditya Priyatna Darmawan/Irawan Sapto Adhi, Mela Arnani) Baca juga:Bagaimana Cara Memasukkan Token Listrik ke Meteran?"
Penjelasan BEI Soal Penyesuaian Tarif PPN 12 Persen untuk Transaksi Efek,https://money.kompas.com/read/2025/01/01/182800526/penjelasan-bei-soal-penyesuaian-tarif-ppn-12-persen-untuk-transaksi-efek,Finance,"01/01/2025, 11:28 WIB","JAKARTA, KOMPAS.com -PT Bursa Efek Indonesia (BEI) menjelaskan aturan tambahan terkait penyesuaian tarif Pajak Pertambahan Nilai (PPN) 12 persen yang berlaku mulai 1 Januari 2025. Direktur Perdagangan dan Pengaturan Anggota Bursa BEI Irvan Susandy menjelaskan, tarif PPN 12 persen pada 2025 dihitung dengan cara mengalikan tarif PPN 12 persen dengan dasar pengenaan pajak berupa nilai lain. ""Nilai Lain yang dimaksud adalah sebesar 11/12 dari nilaiinvoice,"" tulis dia dalam surat edaram BEI, dikutip Rabu (1/1/2024). com/@gabby-kPPN 12 persen.Ia menambahkan, tarif tersebut tetap sesuai dengan Undang-Undang yaitu 12 persen. Namun demikian, nilai objek pajak yang dikalikan 11/12. ""Jadi finalnya sama dengan PPN 11 persen,"" imbuh dia. Sebelumnya, BEI menjelaskan, transaksi efek yang dilakukan akan dikenakan PPN 12 persen mulai 1 Januari 2025. Ketentuan penyesuaian tarif PPN untuk setiap transaksi saham itu tercantum dalam Surat Edaran Bursa Efek Indonesia (BEI) No: S-13561/BEI.KEU/12-2024 perihal Penyesuaian Tarif Pajak Pertambahan Nilai (PPN) Tahun 2025. Sementara untuk invoice dan faktur pajak atas layanan BEI yang diterbitkan sebelum tanggal 1 Januari 2025, besaran tarif PPN yang dikenakan tetap mengikuti ketentuan lama, yakni dengan tarif PPN 11 persen. ""Ketentuan lebih lanjut atas penyesuaian besaran tarif PPN dari yang sebelumnya 11 persen menjadi 12 persen akan mengikuti Peraturan Menteri Keuangan (PMK) yang akan diterbitkan kemudian oleh Kementerian Keuangan Direktorat Jenderal Pajak,"" tulis BEI dalam surat edarannya. Keputusan tersebut pun sudah diamini oleh perusahaan-perusahaan sekuritas yang melayani transaksi efek di BEI."
