Title,Link,Category,Time,Content
"Persik Lepas Evan Dimas, Fokus Benahi Tim untuk Putaran Kedua Liga 1",https://bola.kompas.com/read/2025/01/01/20511818/persik-lepas-evan-dimas-fokus-benahi-tim-untuk-putaran-kedua-liga-1,Sport,"01/01/2025, 13:51 WIB","KOMPAS.com - Memasuki jeda paruh musim Liga 1 2024-2025, manajemen Persik Kediri melakukan pembenahan tim untuk mempersiapkan diri menjadi lebih baik menghadapi putaran kedua. Salah satu langkah yang diambil dengan melepas Evan Dimas yang baru menjalani debut pada pekan ke-7 saat melawan PSBS Biak musim. Menurut pelatih Marcelo Rospide, keputusan tersebut diambil atas kesepakatan bersama manajemen dan pemain. ""Kami mengucapkan terima kasih dan mendoakan yang terbaik untuk karier Evan Dimas ke depannya,"" ujar pelatih asal Brasil. Seperti pada posisi bek kanan yang sering menjadi sorotan karena diisi oleh pemain seperti Vava Mario, Kiko, dan Brendon Lucas yang bukan di posisi natural mereka. ""Secara umum kami sangat percaya dengan skuad yang ada saat ini, terbukti persaingan sehat tercipta dan siapapun yang masuk ke dalam starting eleven selalu memberikan yang maksimal,"" ujar Marcelo Rospide. ""Tetapi ada beberapa posisi yang memang cukup perlu mendapat perhatian, seperti bek kanan pasca cederanya Aqil Munawar dan Nury Fasya yang belum maksimal karena juga sempat mengalami cedera serta akumulasi kartu,"" imbuhnya. Apalagi, kompetisi yang semakin ketat musim ini, semua tim memiliki kemampuan untuk saling mengalahkan. ""Kami percaya banyak pemain memiliki kualitas tinggi di dalam tim Persik Kediri saat ini dan tinggal memantapkan adaptasi. Namun, untuk mencapai hasil maksimal diperlukan kerja keras, kerja pintar dan juga konsistensi,"" tutur Arthur Irawan. ""Tetapi kami tetap harus fokus ke tim sendiri dan jangan pernah puas karena setiap laga kini sangat berbeda, yang pasti target kami tetap ingin meraih hasil yang lebih baik dibandingkan musim lalu,"" pungkasnya. Tim berjuluk Macan Putih itu mengakhiri putaran pertama dengan menempati posisi ke-6 klasemen sementara Liga 1 2024-2025 dengan perolehan 27 poin, sama dengan Bali United dan Persita Tangerang."
Kata Simone Inzaghi Soal Fonseca Diganti oleh Eks Rekan Setimnya di Lazio,https://bola.kompas.com/read/2025/01/01/19511058/kata-simone-inzaghi-soal-fonseca-diganti-oleh-eks-rekan-setimnya-di-lazio,Sport,"01/01/2025, 12:51 WIB","KOMPAS.com- Pelatih Inter Milan, Simone Inzaghi, buka suara soal pemecatan koleganya, Paulo Fonseca, dari kursi kepelatihan AC Milan. AC Milan memecat Paulo Fonseca beberapa saat usai laga pekan ke-18 Liga Italia 2024-2025 kontra AS Roma. Partai Milan vs Roma digelar di Stadion San Siro pada Minggu (29/12/2024) atau Senin (30/12/2024) dini hari WIB dan tuntas dengan skor 1-1. Fonseca hanya mendampingi Milan selama 24 pertandingan. Rekor sang pelatih asal Portugal itu adalah 12 kemenangan, 6 seri, dan 6 kekalahan. “Sayangnya, kami para pelatih selalu menjadi sasaran penghakiman,"" ujar Inzaghi jelang laga semifinal Piala Super Italia 2024 kontra Atalanta. ""Sangat disayangkan bagi Fonseca karena ia adalah pelatih luar biasa dan pribadi yang hebat."" ""Ia tidak memiliki konsistensi bagus di liga, namun ia memainkan laga-laga hebat di Liga Champions dan Coppa Italia."" MenurutTransfermarkt, Simone Inzaghi dan Sergio Conceicao pernah 56 kali berada di skuad laga sama saat memperkuat Lazio pada akhir 1990-an. Keduanya juga menjadi bagian tim Lazio yang menang 1-0 atas Manchester United di laga Piala Super Eropa 1999. Inzaghi dan Conceicao juga menjadi starter saat Lazio mengalahkan Inter Milan 2-1 untuk menjadi juara Coppa Italia 2000."
Kylian Mbappe Tuntut Real Madrid Tingkatkan Target Usai Tahun Baru,https://bola.kompas.com/read/2025/01/01/19313118/kylian-mbappe-tuntut-real-madrid-tingkatkan-target-usai-tahun-baru,Sport,"01/01/2025, 12:31 WIB","KOMPAS.com- Megabintang Real Madrid, Kylian Mbappe, memberikan tuntutan besar ke klub setelah Tahun Baru karena ia menganggap Los Blancos perlu memasang target besar pada 2025. Real Madrid selalu mengincar pencapaian fantastis pada setiap musimnya. Hanya, performa tim asuhan Carlo Ancelotti pada awal musim 2024-2025 sempat lesu. Los Blancos jadi sulit diperhitungkan sebagai kandidat utama juara di berbagai kompetisi musim ini. Real Madrid belum bisa mendominasi puncak Liga Spanyol sementara Los Blancos juga hanya duduk di ranking ke-20 di Liga Champions. Setidaknya, kondisi Real Madrid perlahan membaik dalam beberapa bulan terakhir dengan Carlo Ancelotti mampu mengembalikan timnya ke peta persaingan lagi. ""Kami harus memenangi semua gelar pada 2025,"" ucap Mbappe seperti dilansir dariMarca. ""Tujuan kami harus menjadi tim yang lebih kuat dan bahagia,"" kata penyerang asal Prancis tersebut. Peran Mbappe dalam mencapai target besar ini tentu sangat dibutuhkan Real Madrid. Sejauh ini sang penyerang sudah menyumbang 13 gol dan tiga assist di semua ajang. Namun, Mbappe masih mendapatkan kritik karena kerap tampil tidak konsisten. Adaptasi Mbappe di klub baru kini sudah berjalan selama enam bulan sehingga Real Madrid mengharapkan perbaikan. Konsistensi sang penyerang dalam mencetak gol akan mempermulus jalan klub meraih lebih banyak gelar. Dia menjadi bagian kemenangan timnya kala meraih gelar kampiun Piala Super Eropa dan Piala Interkontinental. Dalam dua final tersebut, Mbappe selalu berhasil menyumbang gol untuk Real Madrid."
Ruben Amorim Desak Man United Rekrut Dua Pemain Baru,https://bola.kompas.com/read/2025/01/01/18464358/ruben-amorim-desak-man-united-rekrut-dua-pemain-baru,Sport,"01/01/2025, 11:46 WIB","KOMPAS.com- Pelatih Manchester United, Ruben Amorim, diyakini akan menekan manajemen Setan Merah untuk mendatangkan dua pemain baru pada bursa Januari ini. Pelatih Manchester United Ruben Amorim sempat mengungkapkan beberapa kali bahwa dia tidak terlalu memikirkan soal bursa transfer. Fokus utamanya di Manchester United kini adalah menemukan sistem yang cocok dan membuahkan hasil bagus. Untuk itu, Ruben Amorim menolak fokus terhadap perubahan tim yang masif dengan kehadiran bursa transfer Januari. Meski begitu, pelatih asal Portugal tersebut juga dialporkan enggan bersikap naif dengan kondisi tim. Para pemain di skuad The Red Devils saat ini belum bisa membuktikan diri untuk mengikuti taktik Amorim. Sejak Amorim pertama melatih Man United pada 24 November, hanya Southampton (7) yang kalah lebih banyak di semua kompetisi di antara klub-klub Premier League lain dibandingkan Man Utd (6). Kehadiran pemain baru yang sesuai dengan keinginan sang pelatih menjadi kebutuhan yang sulit ditolak. Dilansir dariMirror Sports, Amorim menginginkan tambahan pemain di dua sisi lapangan. Man United dianggap perlu mendatangkan seorang bek sayap kiri dan penyerang tambahan. Keinginan Amorim sulit diwujudkan oleh klub karena kondisi ekonomi terbaru kubu Old Trafford. Untuk mewujudkan target yang ada, Man United terlebih dahulu harus menjual pemain. Beberapa nama sudah masuk ke dalam daftar jual tetapi hal tersebut datang dengan kendala baru. Klub-klub peminat berpeluang hanya bersedia meminjam para pemain Man United pada bursa transfer musim dingin. Baca juga:Kontroversi Pergantian Cepat Zirkzee, Kata Amorim demi Kebaikan Man United Antony yang masih mengalami kesulitan tampil maksimal saat ini tengah dipantau klub Liga Spanyol, Real Betis. Namun, Real Betis belum tertarik untuk memboyong winger asal Brasil tersebut secara permanen. Marcus Rashford secara terbuka sudah mengungkapkan keinginan untuk mencari tantangan baru. Kendati begitu, Rashford harus mau menurunkan gaji jika ingin hengkang secara permanen. Alejandro Garnacho pun tidak aman dari peluang masuk daftar jual Man United ini. The Red Devils membanderol sang pemain muda asal Argentina ini dengan harga 50 juta pounds atau sekitar Rp1,01 triliun. Jumlah tersebut cukup untuk membiayai permintaan transfer Amorim saat ini. Namun, Man United harus menemukan peminat yang mau membayar dengan nominal yang sudah ditetapkan."
"Tawaran Resmi Real Madrid ke Trent Alexander-Arnold, Tanda Transfer Sudah Dekat",https://bola.kompas.com/read/2025/01/01/18243918/tawaran-resmi-real-madrid-ke-trent-alexander-arnold-tanda-transfer-sudah-dekat,Sport,"01/01/2025, 11:24 WIB","KOMPAS.com- Liverpool harus bersiap kehilangan Trent Alexander-Arnold setelah kubu Real Madrid melakukan pendekatan secara resmi. Los Blancos diyakini akan memboyong bek kanan tersebut pada Januari ini. MenurutThe Times, Real Madrid telah melakukan langkah awal untuk mendatangkan Trent Alexander-Arnold dengan melayangkan penawaran awal di angka 20 juta pound. Pendekatan ini sontak ditolak oleh Liverpool walau kontrak sang bek yang akan habis pada 30 Juni nanti membuat kubu The Reds kian dalam posisi terjepit. Kubu Anfield bahkan bisa kehilangan Trent secara gratis apabila ia menandatangani prakontrak bersama Real Madrid. Marcapun telah melaporkan beberapa waktu lalu bahwa Trent melihat masa depannya di Real Madrid bersama rekannya di timnas Inggris, Jude Bellingham. Real Madrid sendiri mengincar bek kanan jangka panjang dengan cedera parahnya Dani Carvajal dan usia sang bek yang kini telah berusia 32 tahun. ""Fakta bahwa Real Madrid telah menunjukkan niat mereka mendatangkan Trent Alexander-Arnold membuat saya percaya bahwa ini hanyalah masalah waktu sebelum dirinya pindah,"" tulisnya di media sosial X. ""Madrid tak akan membuat pergerakan secara resmi apabila sang pemain akan menandatangani perpanjangan kontrak."" ""Diskusi di bawah radar pasti akan berlangsung."" Marca juga menambahkan bahwa Real Madrid tak akan menawar lebih dari 20-25 juta euro bagi sang bek kanan tersebut. Trent Alexander-Arnold telah membukukan 20 gol dan 85 assist dari 333 laga mengenakan seragam Liverpool, klub yang telah ia bela sejak berusia enam tahun."
Dua Calon Pengganti jika Darwin Nunez Pindah dari Liverpool,https://bola.kompas.com/read/2025/01/01/17315348/dua-calon-pengganti-jika-darwin-nunez-pindah-dari-liverpool,Sport,"01/01/2025, 10:31 WIB","KOMPAS.com- Liverpool dilaporkan sedang mempersiapkan dua nama sebagai pengganti Darwin Nunez yang saat ini berpotensi pindah ke AC Milan. Darwin Nunez direkrut dari Benfica dengan biaya tinggi 85 juta pounds pada musim panas 2022. Akan tetapi, dia belum menunjukkan performa yang konsisten selama dua setengah tahun di Anfield. Performa Darwin Nunez justru menurun di saat rekan-rekannya naik daun bersama manajer baru Arne Slot. Darwin baru mencatatkan 4 gol dan 3 assist dari 23 penampilan di semua kompetisi musim ini. Situasi ini membuat Nunez mempertimbangkan masa depannya di Liverpool, dengan AC Milan sebagai kemungkinan destinasi untuk menghidupkan kembali kariernya. I Rossoneri telah menghubungi Liverpool terkait ketertarikan mereka pada Nunez dan berencana meminjamnya pada musim panas 2025. Tawaran peminjaman selama satu musim dengan biaya 5 juta euro dan opsi pembelian sebesar 45 juta euro diusulkan oleh AC Milan, yang diyakini Liverpool akan pertimbangkan. Setelah Nunez, Liverpool dilaporkan menyiapkan dua alternatif pengganti. Nama pertama adalah Marcus Thuram, penyerang Inter Milan. Thuram menunjukkan performa luar biasa dengan mencetak 13 gol dan 6 assist dari 22 laga di semua kompetisi musim ini. Meskipun tampil mengesankan, Inter Milan siap melepas Thuram jika ada klub yang mau membayar klausul rilisnya sebesar 85 juta euro. Calon pengganti lainnya adalah Alexander Isak, namun Newcastle United mematok harga lebih dari 100 juta euro, yang dianggap terlalu tinggi untuk Liverpool."
"Pratama Arhan Tinggalkan Suwon FC, Hanya Empat Menit Bermain di Liga",https://bola.kompas.com/read/2025/01/01/17175588/pratama-arhan-tinggalkan-suwon-fc-hanya-empat-menit-bermain-di-liga,Sport,"01/01/2025, 10:17 WIB","KOMPAS.com- Suwon FC mengumumkan nama Pratama Arhan sebagai salah satu pemain yang mereka lepas pada Rabu (1/1/2025) siang WIB. Bek Timnas Indonesia, Pratama Arhan, menjadi salah satu dari 13 pemain yang dilepas klub kasta tertinggi Liga Korea Selatan tersebut. Pratama Arhan meninggalkan Suwon FC setelah hanya semusim memperkuat klub tersebut. Suwon FC menyelesaikan musim Liga Korea Selatan 2024 dengan finish di peringkat kelima dari 12 klub. Namun, bek berusia 23 tahun ini hanya membuat dua penampilan di Liga Korea Selatan dengan total waktu bermain hanya empat menit dan menerima satu kartu merah. Arhan hanya menyelesaikan kurang dari satu jam pertandingan dalam tiga tahun terakhir dengan dia hanya bermain 55 menit bersama Verdy di kasta kedua Liga Jepang lalu hanya empat menit bersama Suwon. Pratama Arhan sendiri bermain 18 kali bagi Timnas Indonesia sepanjang 2024 dengan rincian tujuh kali sebagai starter dan delapan kali turun dari bangku cadangan. Terkini, ia bermain 90 menit pada laga-laga Piala AFF 2024 kontra Myanmar dan Filipina."
Janji Carlos Pena untuk Persija Jakarta di Tahun 2025,https://bola.kompas.com/read/2025/01/01/16474298/janji-carlos-pena-untuk-persija-jakarta-di-tahun-2025,Sport,"01/01/2025, 09:47 WIB","KOMPAS.com- Pelatih Persija Jakarta, Carlos Pena, menegaskan bahwa Macan Kemayoran akan bangkit lebih kuat di tahun baru 2025. Juru taktik asal Spanyol ini menyatakan bahwa ia sangat antusias untuk segera bertanding lagi bersama Persija. Persija menutup tahun 2024 dengan meraih kemenangan tipis 1-0 saat bertemu Malut United pada laga pekan ke-17 Liga 1 2024-2025 di Stadion Kie Raha, Ternate, Maluku Utara pada hari Sabtu (28/12/2024). Gol tunggal bagi Persija dicetak oleh Maciej Gajos langsung dari titik sepak pojok. Kemenangan tersebut membawa Persija mengakhiri putaran pertama Liga 1 2024-2025 dengan mengumpulkan 31 poin dari 17 laga. Di atas Persija, terdapat Persib Bandung dengan 38 poin dan Persebaya Surabaya yang memiliki 37 poin. Persija berhasil meraih 11 kemenangan yakni saat melawan Barito Putera, Persis Solo, PSIS Semarang, Arema FC, Madura United, Persik Kediri, Semen Padang, PSS Sleman, dan Malut United. Tiga hasil imbang diraih oleh Persija saat melawan Persita Tangerang, Dewa United, Borneo FC, dan PSM Makassar. Sementara itu, Persija mengalami empat kekalahan ketika bertemu PSBS Biak, Persib Bandung, Persebaya Surabaya, dan Bali United. Carlos Pena mengungkapkan rasa bahagianya atas pencapaian yang diraih Persija di pertengahan musim ini. “Sungguh cara yang luar biasa untuk mengakhiri paruh musim pertama,” ungkap Carlos Pena. “Sudah enam bulan kerja keras setiap hari, naik turun, dan penuh dedikasi dari orang-orang yang luar biasa,” lanjutnya. Dia menilai bahwa Persija belum menunjukkan performa terbaiknya hingga saat ini. Empat kekalahan dan 16 kebobolan menjadi catatan penting agar tim bisa lebih baik di 17 pekan berikutnya. Saat ini, para pemain Persija menikmati waktu libur. Marko Simic dan kawan-kawan dijadwalkan akan kembali berlatih pada akhir pekan ini untuk mempersiapkan pertandingan selanjutnya. Persija akan bertemu Barito Putera pada pekan ke-18 Liga 1 2024/2025 di Stadion Demang Lehman, Martapura, Kalimantan Timur, pada hari Jumat (10/1/2025). “Dalam beberapa hari kami akan kembali dengan lebih kuat. Selamat tahun baru untuk semua,” tutup Carlos Pena."
Persib Bidik Striker Persija Hingga Komunikasi dengan Matheus Pato,https://bola.kompas.com/read/2025/01/01/16012978/persib-bidik-striker-persija-hingga-komunikasi-dengan-matheus-pato,Sport,"01/01/2025, 09:01 WIB","BANDUNG, KOMPAS.com -Persib Bandung dirumorkan membidik satu penyerang asing untuk didatangkan pada jendela transfer tengah musim Liga 1 2024-2025. Pelatih Persib Bojan Hodak sudah mengajukan beberapa nama kepada manajemen, yang dikonfirmasi oleh Sporting Director PT Persib Bandung Bermartabat (PBB) Adhitia Putra Herawan. Beberapa nama muncul menjadi rumor, di antaranya penyerang Persija Jakarta Gustavo Almeida dan mantan top skor Borneo FC Matheus Pato. Adhitia tak mengelak bahwa pihaknya tengah menjalin komunikasi dengan salah satu pemain tersebut di atas. .. “Enggak, dia (Gustavo Almeida) masih di Persija,” ucap Adhit. “Matheus Pato, kami sempat ngobrol beberapa kali sama agennya, tapi kami sepakat untuk mencoba evaluasi dulu, tapi Matheus Pato ada komunikasi,” terangnya. Pato sendiri mengilap bersama Borneo FC dengan mencetak 25 gol dan 3 assist dari 32 penampilan sepanjang musim Liga 1 2022-2023. Adhit mengaku ada dua nama lebih pemain yang diajukan Bojan Hodak sesuai kebutuhan tim. Namun, dirinya masih akan berkomunikasi lebih lanjut mengenai perkembangan negosiasi yang sudah dijalin dengan beberapa pemain tersebut. “Kita masihngobrolsama Bojan, sama tim pelatih, yang paling pas itu yang seperti bagaimana,” urainya. Lebih lanjut Adhit menyebutkan asal negara dari nama-nama yang jadi opsi bidikan Hodak. “Dari Brasil, Eropa, Asia juga ada.Collectsebanyak mungkin, semakin banyak list makin tenang pilihnya. Tapi pasti tahu tipikal Bojan kalau striker seperti apa,” bebernya. Nama penyerang asal Tanjung Verde, Mailson Lima dipastikan bakal keluar di tengah musim ini. Namun, Persib masih belum mengumumkan akan kepergian sang pemain. Maung Bandung sendiri perlu menyegarkan barisan ofensif. Lini depan Persib masih bertumpuan ke dua pemain yang sama-sama telah berusia 35 tahun, Ciro Alves dan David da Silva. Sementara, pemain yang kerap membantu membobol gawang lawan, Tyronne del Pino, juga kini telah berusia 33 tahun."
Alasan Adam Alis Diikat Secara Permanen oleh Persib Bandung,https://bola.kompas.com/read/2025/01/01/15462018/alasan-adam-alis-diikat-secara-permanen-oleh-persib-bandung,Sport,"01/01/2025, 08:46 WIB","BANDUNG, KOMPAS.com -Persib Bandung resmi mengikat gelandang Adam Alis dari Borneo FC Samarinda. Gelandang serba bisa itu sebelumnya menjalani masa peminjaman ke kubu Maung Bandung. Adam Alis dikontrak secara permanen oleh Persib Bandung dengan durasi dua setengah tahun, seiring masa peminjaman dan kontraknya di Borneo yang berakhir Desember 2024. Adam Alis menjadi salah satu gelandang andalan pelatih Persib Bojan Hodak dalam mengarungi Kompetisi Liga 1 2024-2025. Pada beberapa laga terakhir, Adam tampil apik di posisi yang ditinggalkan Dedi Kusnandar setelah sang pemain mengakhiri musim lebih dini karena cedera patah kaki. ""Selama musim berjalan, kontribusi Adam Alis dinilai positif oleh tim pelatih. Karena itu, Persib dan pemain bersangkutan menjalin kesepakatan kontrak permanen dengan durasi dua setengah musim,"" terang Adhit. Selama menjalani peminjaman di setengah musim Liga 1 2024-2025, Adam telah memainkan 15 pertandingan dengan enam kali starter dan sembilan kali sebagai pemain pengganti. Pemain kelahiran Jakarta 19 Desember 1993 ini mencatat 679 menit bermain menyumbang satu gol ke gawang Madura United. Apalagichemistry-nya dengan Marc Klok di lini tengah kian padu, berbekal duet saat berada di Timnas Indonesia. ""Harapan akan kontribusi besarnya itulah yang membuat Persib bersepakat dengan Adam Alis untuk menjalin kesepakatan kontrak permanen,” ucap Adhit. “Kita berharap, performa Adam Alis terus menanjak dan menghadirkan prestasi terbaik untuk Persib,"" urainya. Persib juga mempromosikan pemain muda potensial dari tim Akademi Zulkifli Lukmansyah yang tampil impresif di Kompetisi Elite Pro Academy (2024-2025). Kabar yang dikonfirmasi Adhitia, bahwa Persib tengah bernegosiasi dengan dua pemain lokal dan satu pemain asing."
