Title,Link,Category,Time,Content
Imbas Melonjaknya Inflasi Harga Obat di Pasar Amerika Serikat Naik Mulai Hari Ini,https://www.tribunnews.com/kesehatan/2023/01/01/imbas-melonjaknya-inflasi-harga-obat-di-pasar-amerika-serikat-naik-mulai-hari-ini,Health,"Tayang:Minggu, 1 Januari 2023 19:17 WIB","Laporan Wartawan Tribunnews.com, Namira Yunia Lestanti TRIBUNNEWS.COM, NEW YORK –Produsenobatasal Amerika sepertiPfizerInc, GlaxoSmithKline, Bristol-Myers Squibb,AstraZenecadan Sanofi berencana untuk menaikkan hargaobatdi pasar AS mulai Januari 2023. Melansir dari Reuters, nantinya sebagian besar produsenobatdi AS akan mempertahankan kenaikan sebesar 10 persen dari harga sebelumnya. Dimana kenaikan tersebut merupakan harga jual, yang tidak termasuk rabat kepada manajer manfaat apotek dan diskon lainnya. Selain harga obat, rencananya harga terapi sel CAR-T Bristol Myers Squibb untuk perawatan kanker darah yang dipersonalisasi oleh Abecma dan Breyanzi juga diproyeksikan naik hingga 9 persen. Keputusan tersebut diambil para produsenobatdi saat industri farmasi AS tengah mempersiapkan Undang-Undang PenguranganInflasi(IRA), yang memungkinkan rumah sakit atau pelayanan kesehatan Medicare di bawah naungan pemerintah untuk dapat menegosiasikan harga beberapaobatmulai tahun 2026. “Produsenobattelah fokus meluncurkanobatmereka dengan harga lebih tinggi karena perhatian yang diberikan pada kenaikan harga tahunan. IRA harusnya memperhatikan dinamika ini, kata Antonio Ciaccia, Presiden pabrikobat3 Axis. Diperkirakan kenaikan akan mulai terjadi pada minggu pertama bulan ini, tercatat per 1 Januari beberapa produsen telah mengumumkan untuk menaikkan harga jualobatmereka. SepertiPfizeryang bersiap menaikkan 89 merekobatproduksinya, serta 10 merekobatdi unit Hospira-nya. Termasukobatkanker terlaris yakni Ibrance dan Xalkori sebesar 7,9 persen, kemudianobatpenyakit sendi Xeljanz dan duaobatautoimun rheumatoid arthritis serta kolitis ulserativa dengan kenaikan sebesar 6 persen. Walau telah dinaikkan namun seorang juru bicaraPfizermengatakan, bahwa daftar harga rata-rataobat-obatan dan vaksin produksinya pada tahun 2023 masih terlampau jauh di bawah inflasi utama sekitar 3,6 persen. Tak hanyaPfizer, pabrikobatGlaxoSmithKline juga berencana untuk menaikkan harga 26obat, termasuk vaksin herpes zoster Shingrix sebesar 7 persen. Disusul oleh perusahaan farmasiAstraZenecayang bersiap untuk menaikkan hargaobatkanker darah Calquence,obatkanker paru non-sel kecil Tagrisso serta pengobatan asma Fasenra sebesar 3 persen. Kenaikkan serupa juga dilakukan Sanofi dengan mematok harga lebih tinggi pada 14obatvaksin buatannya. ""AstraZeneca selalu mengambil pendekatan harga yang dipertimbangkan dan kami akan terus melakukannya, dengan mempertimbangkan sejumlah faktor,"" kata juru bicara perusahaan, Brendan McEvoy. Nantinya dengan kenaikan tersebut, dana yang terkumpul akan dialokasikan para produsen obat untuk investasi masa depan, seperti membiayai penelitian lebih lanjut guna menemukan obat varian terbaru. Terlebih selama empat tahun terakhir paa produsen obat telah mengalami penurunan pendapatan karena terdampak kebijakan pemerintah terkait potongan harga atau diskon yang dibayarkan kepada perusahaan asuransi dan manajer tunjangan farmasi"
"Baru 50 Persen RS Kabupaten/Kota Punya Alkes untuk Penyakit Stroke, Jantung, Ginjal, dan Kanker",https://www.tribunnews.com/kesehatan/2023/01/02/baru-50-persen-rs-kabupatenkota-punya-alkes-untuk-penyakit-stroke-jantung-ginjal-dan-kanker,Health,"Tayang:Senin, 2 Januari 2023 18:20 WIB","Laporan Wartawan Tribunnews.com, Rina Ayu TRIBUNNEWS.COM, JAKARTA- Kementerian Kesehatan (Kemenkes) menargetkan layanan empat penyakit katastropik sepertijantung,stroke,ginjal, dan kanker dapat diakses di seluruh rumah sakit Kabupaten/Kota di Indonesia. Saat ini setidaknya baru 50 persen kabupaten/kota RS yang memiliki alat kesehatan (alkes) lengkap untuk keempat penyakit ini. Upaya ini dilakukan untuk mendekatkan akses layanan kesehatan rujukan kepada masyarakat Indonesia. Azhar Jayamengatakan, langkah ini juga untuk mengurangi beban pembiayaan kesehatan. “Saat ini belum semua rumah sakit di Indonesia memiliki alat kesehatan lengkap untuk pengobatan penyakit kanker,jantung,stroke, dan uronefrologi,” ujar Dirjen Azhar beberapa waktu lalu. Sebagai contoh untuk penyakitjantung, tidak semua provinsi memiliki rumah sakit dengan fasilitas untuk pasang ring dijantung. Dari 34 provinsi, yang bisa melakukan operasi pasang ring hanya 28 provinsi dan 22 provinsi yang bisa melakukan operasijantungterbuka. Ditargetkan 34 rumah sakit di seluruh provinsi pada 2024 bisa melayani penyakit kanker, jantung, stroke, dan uronefrologi. Alat kesehatan untuk pengobatanjantungdanstrokeantara lain Echocardiography, CT-Scan, Cath lab, Set Kamar OK, IABP, Rotablator, IVUS-FFR, MRI, Mikroskop Neuro, Heart Lung Machine, dan OCT. Sementara untuk kanker terdiri dari Mammography, SPECT CT, Flowcytometer, IHK, Bronchoscopy, Brachiterapy, CUSA, LINAC, PET-CT, CT Simulator. Anggaran yang diperlukan untuk mengejar target 50 persen kabupaten/kota tersebut sebesar Rp. 3,55 triliun. Anggaran tersebut disalurkan ke daerah sehingga yang melakukan pembelian alat kesehatan adalah pemerintah daerah. Saat ini sudah 55 persen alat kesehatan yang sudah sampai. Dari 55 persen itu ada alat yang sudah terpasang ada juga alat yang dalam proses instalasi. Adapun 4 persen alat batal dibeli karena kendala dari pihak supplier karena tidak siap, tidak bisa indent, katalog turun tayang, dan gagal lelang. “Pemerintah mempercepat pengiriman barang dan administrasi pertanggungjawaban keuangan akhir tahun. Pemerintah juga segera melakukan penggantian merk untuk barang yang tidak tersedia,” tutur Dirjen Azhar. Pemenuhan alat kesehatan ini merupakan langkah konkret transformasi kesehatan terkait layanan rujukan. Transformasi ini dimulai dengan mengatasi penyakit penyebab kematian paling tinggi di Indonesia yakni penyakit kanker,jantung,stroke, dan uronefrologi."
Dirjen WHO: Kondisi Darurat Kesehatan Global Mulai Membaik pada 2023,https://www.tribunnews.com/kesehatan/2023/01/02/dirjen-who-kondisi-darurat-kesehatan-global-mulai-membaik-pada-2023,Health,"Tayang:Senin, 2 Januari 2023 18:11 WIB","Laporan Wartawan Tribunnews.com, Mikael Dafit Adi Prasetyo TRIBUNNEWS.COM, GENEVA –Direktur Jenderal Organisasi Kesehatan Dunia (WHO)Tedros Adhanom Ghebreyesusbelum lama ini memberikan penilaian suram tentang banyaknya tantangan dan ancaman kesehatan yang dihadapi setiap individu di seluruh dunia. Dilansir dari VoA News, dirjenWHOitu mengatakan bahwa pandemiCovid-19menjadi masalah kesehatan utama yang menjadi perhatian global pada 2022. Selain Covid-19, Tedros juga mencatat beberapa masalah kesehatan seperti cacar monyet, yang saat ini dikenal sebagai mpox, wabah Ebola di Uganda, dan wabah kolera di banyak negara. “PandemiCovid-19telah menurun secara signifikan, wabah cacar monyet global berkurang, dan tidak ada kasus Ebola di Uganda selama lebih dari tiga minggu,"" kata Tedros dalam sebuah pernyataan pada akhir tahun lalu. ""Kami berharap setiap keadaan darurat ini akan berakhir dan diumumkan pada titik yang berbeda pada 2023 mendatang,” imbuhnya. Meski pandemiCovid-19belum berakhir, Tedros mengatakan kemajuan besar telah dicapai dalam menekan penyebarannya. Dia mencatat pada 2021, virus corona telah membunuh 50.000 orang dalam seminggu, tetapi pada 2022 jumlah itu telah turun menjadi kurang dari 10.000 kematian dalam seminggu. Dia pun juga mengingatkan bahwa virus ini akan tetap ada dan orang-orang harus belajar bagaimana mengelola penyakit tersebut."
"Ahli Sebut Tahun 2023 Rawan Muncul Penyakit Baru, Bisa Dipicu Perubahan Iklim",https://www.tribunnews.com/kesehatan/2023/01/02/ahli-sebut-tahun-2023-rawan-muncul-penyakit-baru-bisa-dipicu-perubahan-iklim,Health,"Tayang:Senin, 2 Januari 2023 13:33 WIB","Laporan Wartawan Tribunnews.com, Aisyah Nursyamsi TRIBUNNEWS.COM, JAKARTA- Peneliti Keamanan dan Ketahanan Kesehatan GlobalDicky Budimansampaikan bahwa tahun 2023 rawan akan penyakit. ""Tahun 2023 adalah tahun rawan munculnya penyakit baru. Setidaknya, menurut saya satu penyakit baru akan muncul yang bisa menjadi ancaman cukup serius,"" ungkapnya pada Tribunnews, Senin (2/12/2022). ""Bahkan tidak hanya satu, termasuk di sini yang akan selalu menjadi masalah adalah Tuberkulosis, Malaria, HIV ditambah Monkeypox,"" paparnya lagi. Termasuk beberapa penyakit saluran nafas. Ini yang menjadi masalah. Ancaman lainnya kata Dicky adalah dampak dariperubahan iklim. Yang bisa mengakibatkan menurunnya derajat kesehatan di daerah panas atau daerah dingin. ""Beberapa penyakit disebabkan vektor seperti dangue dan mirip seperi zika bisa menjadi munculnya masalah. Termasuk di dalamnya malaria,"" kata Dicky menambahkan. Selain itu Dicky mengingatkan ancaman lain yang penting diwaspadai dan dimitigasi. ""Bahwa kita harus mewaspadai penyakit yang selama ini teralihkan penangannya. Tentu harus kembali diantisipasi dengan penguatan respon,"" tegasnya. Terutama pada penyakit tidak menular seperti stroke, kanker, diabetes hingga masalah gizi."
"New Year, New You! Rayakan Tahun yang Baru dengan Tubuh Sehatmu",https://www.tribunnews.com/kesehatan/2023/01/03/new-year-new-you-rayakan-tahun-yang-baru-dengan-tubuh-sehatmu,Health,"Tayang:Selasa, 3 Januari 2023 06:57 WIB","TRIBUNNEWS.COM- Pergantian tahun telah kita rayakan bersama keluarga, teman, dan orang terkasih lainnya. Di manapun perayaannya baik liburan ke luar kota, luar negeri, atau di rumah saja, momen tahun baru tentunya dapat dimaknai dengan spesial. Tahun baru juga dapat menjadi waktu yang tepat bagi kita untuk berbenah diri dan menentukan resolusi yang ingin dicapai. Karena, setiap kita tentunya ingin memiliki kebahagiaan, kesuksesan, dan kesehatan yang lebih baik di tahun 2023. Untuk mencapai berbagai resolusi yang telah kita buat, tentunya dibutuhkan komitmen yang kuat dari diri sendiri. Misalnya dalam hal kesehatan, jika kita ingin memiliki tubuh yang bugar dan berat badan ideal, tetapi tidak ada upaya dan komitmen untuk mewujudkannya, tentunya hal itu hanya akan menjadi resolusi yang berulang setiap tahun tanpa ada pencapaian yang signifikan. Jika komitmen kuat sudah terbentuk dari diri sendiri, olahraga rutin dapat mulai dilakukan dengan konsumsi makanan bergizi untuk menyeimbangkan. Setiap individu bisa menyesuaikan olahraga dan makanan apa yang tepat untuk dirinya sesuai kondisi tubuh masing-masing. Jika diperlukan, kita juga dapat mengalkulasi berapa banyak konsumsi gula, garam, dan lemak rata-rata per hari. Hal yang tidak kalah penting juga adalah untuk melakukan pemeriksaan kesehatan secara berkala sebagai deteksi dini apabila ada risiko penyakit kita dapat mengetahui penanganan yang tepat. Selain untuk mendeteksi suatu penyakit, terdapat juga jenis pemeriksaan kesehatan yang dapat dijadikan panduan untuk menentukan pola olahraga dan makanan yang tepat sesuai dengan gen masing-masing individu. Sebagai dukungan dalam menerapkan kebiasaan cek kesehatan secara berkala untuk resolusi tahun baru, Prodia menyediakan program keringanan harga bertajuk New Year, New You. Pelanggan dapat menikmati keringanan sebesar 20 persen untuk Panel Wellness dan panel lainnya serta keringanan sebesar 15% untuk semua pemeriksaan termasuk Rontgen Thorax, EKG, dan USG. Selain itu, jika ingin turut melakukan Vaksin Influenza, pelanggan bisa mendapatkan voucher harga khusus. Pelanggan dapat melakukan pemeriksaan kesehatan dengan keringanan harga tersebut mulai dari 1 Januari sampai 8 Januari 2023 melalui aplikasiProdia Mobile. Untuk pelanggan yang masih ingin menikmati liburan dan istirahat di rumah, pemeriksaan kesehatan juga dapat dinikmati dengan layanan Home Service melalui Kontak Prodia di 1500 830 atau Whatsapp chat ke 0855 1500 830. Manfaatkan awal tahun sebagai permulaan dari semua hal baik yang masih tertunda di tahun sebelumnya. Anda bisa memulainya dengan memperbaiki pola hidup demi kesehatan di masa yang akan datang. Dengan demikian, aspek kehidupan lainnya akan mengikuti untuk menjadi individu baru yang semakin baik dari hari ke hari."
Hamil di Usia Remaja Punya Risiko Alami Kanker Serviks ,https://www.tribunnews.com/kesehatan/2023/01/04/hamil-di-usia-remaja-punya-risiko-alami-kanker-serviks,Health,"Tayang:Rabu, 4 Januari 2023 23:18 WIB","Laporan Wartawan Tribunnews.com, Aisyah Nursyamsi TRIBUNNEWS.COM, JAKARTA -Wanita hamil di usia sangat muda memiliki risiko alamikanker serviks. Sebab, menurut konsultanonkologiginekologi, dr.Oni Khonsa, Sp.OG, Subsp, hamil di usia yang terlalu muda atau sangat remaja, area serviks masih mengalami perubahan. ""Area itu rentan bila terjadi infeksi virus yang diakibatkan oleh human papillomavirus (HPV). Area itu mudah dimasuki oleh virus,"" ungkapnya pada siaran Radio Kesehatan, Rabu (4/1/2023). Mungkin, kata dr Oni, hal itu dikarenakan proses berhubungan seks tidak sehat. Kondisi organ reproduksi belum terjaga sempurna. ""Secara umum tetap bisa aman. Selama program perlindungan tetap dijalankan,"" katanya lagi. Selain itu ada faktor risiko lain yang dapat sebabkankanker serviksselain usia yang terlalu dini saat hamil. Di antaranya ada proses infeksi dan imunitas tidak sempurna. Maka menjadi potensi cukup tinggi infeksi hpv berkembang menjadikanker serviks."
Tiga Faktor Risiko Terjadinya Kanker Serviks pada Perempuan,https://www.tribunnews.com/kesehatan/2023/01/04/tiga-faktor-risiko-terjadinya-kanker-serviks-pada-perempuan,Health,"Tayang:Rabu, 4 Januari 2023 16:00 WIB","Laporan Wartawan Tribunnews.com, Aisyah Nursyamsi TRIBUNNEWS.COM, JAKARTA -Kanker serviks menempati urutan kedua sebagai jenis kanker yang paling banyak dialami oleh perempuan di Indonesia. Secara umum, kanker sendiri bisa dicegah dengan gaya hidup sehat. Lalu menjaga pola makan, kebersihan, stamina dan menghindari faktor pencetus yaitu merokok. Namun, ada beberapa faktor risiko yang dapat memicu terjadinya kanker serviks. Oni Khonsa, Sp.OG, Subsp. Onk. Pertama adanya faktor seksual. Kerap berganti pasangan berisiko alamikanker serviks. Faktor ini kata dr Oni tidak dikehendaki oleh penderita. ""Ada perempuan yang harus menikah dengan beberapa pria karena tidak berhasil dengan pernikahan sebelumnya,"" ungkapnya pada siaran Radio KesehatanKementerian Kesehatan, Rabu (4/1/2023). Atau memang sudah terbiasa dengan perilaku tidak sehat, yaitu berhubungan seksual secara multifaktor. Kedua adanya infeksi kronis di daerahkanker serviks. Adanya infeksi tersebut membuat kondisi serviks menjadi tidak sehat. Ketiga, karena faktor imunitas. Jika imun tubuh terjaga, virus Human papillomavirus (HPV) tidak akan langsung menjadikanker serviks. Namun saat imunitas tubuh melemah, maka virus HPV rentan menginfeksi dan berakhir menjadikanker serviks. ""Bayangkan saudara kita sistim imunitas menurun. Seperti penderita HIV atau dalam proses kemoterapi atau proses menurunkan sistim imunitas lainnya. Itu bisa menjadi faktor risiko,"" papar dr Oni. Oleh karena itu penting untuk menjaga imunitas tubuh."
Gejala Awal Kanker Serviks yang Mesti Diketahui Selain Keputihan,https://www.tribunnews.com/kesehatan/2023/01/04/gejala-awal-kanker-serviks-yang-mesti-diketahui-selain-keputihan,Health,"Tayang:Rabu, 4 Januari 2023 15:57 WIB","Laporan Wartawan Tribunnews.com, Aisyah Nursyamsi TRIBUNNEWS.COM, JAKARTA -Kanker serviks terjadi pada kanker mulut rahim. Salah satu tanda awal dari gejalakanker serviksadalahkeputihan. Namun menurut Dokter Kandungan Konsultan Onkologi Ginekologi, dr.Oni Khonsa, Sp.OG, Subsp. Onk, masih ada gejala awalkanker serviksyang mesti diketahui. ""Semakin timbul gejala signfikan kanker sudah cukup tinggi stadiumnya. Gejala sederhanakeputihanbiasa, lembab sekali,"" ungkapnya pada siaran Radio Kesehatan, Rabu (4/1/2022). Gejala awal lain yang lebih tinggi adalah terjadi pendarahan pasca berhubungan intim. Pendarahan yang terjadi pun tidak sedikit. Hal itu menjadi gejala awal dan bahkan saat penderita datang ke rumah sakit menjadi stadium lebih tinggi. Ia pun mengingatkan pentingnya untuk melakukan pengecekan secara rutin. Bahkan walau pun tidak ada gejala sama sekali. ""Karena pada kondisi tidak bergejala kami menemukan lesi atau tanda pra kanker. Belum menjadi kanker, tapi itu momentum paling menentukan karena kita bisa terapi tuntas,"" pungkasnya."
"Astaga, Hampir 70 Persen Sumber Air Minum di Indonesia Tercemar Tinja, Ini Antisipasinya",https://www.tribunnews.com/kesehatan/2023/01/04/astaga-hampir-70-persen-sumber-air-minum-di-indonesia-tercemar-tinja-ini-antisipasinya,Health,"Tayang:Rabu, 4 Januari 2023 14:31 WIB","Laporan Wartawan Tribunnews.com, Aisyah Nursyamsi TRIBUNNEWS.COM, JAKARTA- UNICEF Indonesia mengabarkan, hampir 70 persen dari 20.000 sumberair minumrumah tangga di Indonesiatercemarlimbahtinjaberdasarkan hasil riset terbaru yang mereka lakukan. Cemaran tersebut turut menyebabkan penyebaran penyakit diare, dan berbagai penyakit lainnya. Terkait hal ini, dokter umum dari RSPI Sulianti Saroso,dr Sucahyo Adi Nugrohomengatakan munculnya cemaran tersebut tergantung rembesan septik tank. ""Yang harus dilakukan paling tidak adalah melakukan pengurasan septic tank 5 tahun sekali,"" ungkapnya pada siaran Radio Kesehatan Kementerian Kesehatan, Rabu (4/1/2023). Sayangnya masyarakat masih banyak mengosongkan septik tank ketika sudah mampet. Akhirnya bisa terjadi pencemaran air tanah Lebih lanjut, kebanyakan jarak antara spetik tank limbah dengan sumber air perumahan masyarakat memang terbilang sangat dekat. ""Padahal mekanisme pembuangan limbah septik tank, paling tidak minimal berjarak 10-11 meter untuk meniadakan pencemaran air tanah,"" katanya lagi."
"Perhatikan Asupan Makanan Saat Diare, Sebaiknya Jangan Konsumsi yang Berserat Tinggi",https://www.tribunnews.com/kesehatan/2023/01/04/perhatikan-asupan-makanan-saat-diare-sebaiknya-jangan-konsumsi-yang-berserat-tinggi,Health,"Tayang:Rabu, 4 Januari 2023 12:03 WIB","Laporan Wartawan Tribunnews.com, Aisyah Nursyamsi TRIBUNNEWS.COM, JAKARTA-Diare adalah gangguan pencernaan menimbulkan rasa mulas dan sering buang air besar. Kondisi ini tentu terasa sangat tidak nyaman, dan jika tidak ditangani bisa menyebabkan dehidrasi. Selamadiare, ternyata ada beberapa makanan yang tidak dianjurkan dikonsumsi selamadiare. Hal ini diungkapkan oleh dokter umum dari RSPI Sulianti Saroso, dr Sucahyo Adi Nugroho. Pertama, hindari makanan yang berbumbu atau menyengat. ""Sebaiknya harus dihindari makanan yang berbumbu atau menyengat seperti pedas atau lada, dikurangi dulu,"" ungkapnya pada siaran Radio Kesehatan Kementerian Kesehatan, Rabu (4/1/2023). Kedua, kurangi makanan yang berserat tinggi. Sehinggadiaresulit dihentikan. Untuk menambah energi, bisa mengonsumsi nasi. Nasi rendah akan serat, namun bisa memberikan rasa kenyang dan kalorinya bisa memberikan tenaga. Ketiga, jangan jajan sembarangan yang tidak terjaga kebersihannya. ""Kita tidak bisa melarang orang jualan di pinggir jalan. Cuma yang harus diperhatikan adalah kebersihan makanan dan diri kita,"" paparnya lagi. Terkadang tanpa disadari, saat mengonsumsi makanan, lingkungan sekitar tidak bersih. Atau makanan tidak ditutup di tengah situasi yang lembab dan dapat memicu berkembangnya mikroorganisme penyebab infeksi. ""Ini dapat memperberat timbulnya penyakit,"" tegasnya. Terakhir, dr Sucahyo pun menghimbau untuk memenuhi kebutuhan cairan. Tidak hanya memperbanyak air putih saja, tapi juga isotonik, larutan olarit dan sejenisnya.."
