Title,Link,Category,Time,Content
"Jangan Lengah, Hal Ini Bisa Ganggu Mengemudi Saat di Jalan Tol",https://www.tribunnews.com/otomotif/2023/01/01/jangan-lengah-hal-ini-bisa-ganggu-mengemudi-saat-di-jalan-tol,Otomotif,"Tayang:Minggu, 1 Januari 2023 11:04 WIB","Laporan Wartawan Tribunnews.com, Lita Febriani TRIBUNNEWS.COM, JAKARTA -Berlibur menggunakan mobil dengan melintasijalan tolsaat tahun baru tentu akan mempersingkat waktu perjalanan. Aftersales Business Division HeadAuto2000Nur Imansyah Tara, mengimbau agar pengemudi tidak lengah saat dijalan tol, sebab banyak masalah yang bisa saja muncul. ""Jangan lengah saat mengemudi di jalan tol mengingat ada potensi masalah yang dapat memicu kecelakaan di masa libur Tahun Baru,"" tutur Tara. 1. Medan Jalan Tol Jalan tol trans Jawa relatif lurus dan membuat mudah mengantuk. Beberapajalan tolmemiliki medan jalan menanjak dan menurun, sehingga harus menjaga kewaspadaan dan memastikan mobil sanggup melaluinya. Sementarajalan toltrans Sumatera belum diketahui oleh banyak pengemudi sehingga harus lebih waspada. 2. Jalan Kurang Mulus Efek tak baik melibas jalan yang kurang mulus bisa sangat besar karena kecepatan mobil yang tinggi. Jangan mengerem mendadak atau pindah lajur untuk menghindar karena berpotensi celaka, apalagi sampai melibatkan mobil lain. Bila tidak aman, cukup lepas pedal gas dan biarkan mobil menabrak lubang. Jalan perlahan dan rasakan apakah ada potensi masalah, segera berhenti kalau benar. 3. Ban Mobil Pecah Ban mobil harus dapat dikendalikan dengan baik supaya bisa selamat sampai tujuan. Perhatikan kondisi telapak dan dinding ban, jika dirasa bermasalah segera ganti di bengkelAuto2000demi keselamatan di jalan. 4. Aquaplaning Aquaplaning merupakan bahaya laten yang dapat terjadi kapan saja saat mobil melaju di jalan yang basah. Aquaplaning sanggup menahan telapak ban mobil tidak menyentuh permukaan jalan sehingga kehilangan traksi dan mobil tergelincir. Kurangi kecepatan bila turun hujan atau trek tol basah untuk mengurangi risiko aquaplaning. 5. Rest Area Penuh Rest area merupakan sarana penting saat berkendara dijalan toluntuk istirahat dan isi ulang bensin. Masalahnya saat musim libur Nataru, rest area pasti penuh oleh pengunjung yang memiliki kebutuhan sama, bahkan hingga ditutup oleh polisi supaya tidak membuatjalan tolmacet. Isi bensin full sebelum masukjalan toldan atur strategi masuk rest area yang paling pas. 6. Perhatikan Pengguna Jalan Lain Kita mungkin pernah mengalami kecelakaan akibat kecerobohan orang lain. Jaga jarak aman dengan kendaraan di depan dan tidak perlu menutup jalan mobil lain yang pindah lajur seenaknya. Meski benar secara hukum, tapi mencegah kecelakaan tetap jauh lebih baik. 7. Kondisi Kendaraan Kita pasti tidak mau rem mobil bermasalah saat melaju dijalan tol.Auto2000mendirikan Posko SiagaAuto200024 Jam yang sanggup melayani kebutuhan servis berkala dan pekerjaan perbaikan kendaraan ringan dengan waktu pengerjaan di bawah 2 jam. Terdapat 3 titik, yaitu Posko Cikampek Rest Area Km 57, Posko Probolinggo Rest Area Utama Raya, dan Posko Siaga Cisarua – Puncak Raya Hotel, sepanjang periode 23 Desember 2022 sampai 1 Januari 2023. Bengkel SiagaAuto2000melayani seluruh kebutuhan perawatan kendaraan pelanggan seperti biasa, mulai dari servis berkala hingga perbaikan berat tanpa ada tambahan biaya jasa dan parts. Ada total 113 layanan Bengkel SiagaAuto2000tetap buka seperti biasa mulai 23 Desember sampai 1 Januari 2023, di mana 59 bengkel buka pada 1 Januari 2023."
Honda Ancang-ancang Rilis Mobil Listrik N-Van Tahun Depan,https://www.tribunnews.com/otomotif/2023/01/02/honda-ancang-ancang-rilis-mobil-listrik-n-van-tahun-depan,Otomotif,"Tayang:Senin, 2 Januari 2023 20:08 WIB","Laporan Wartawan Tribunnews.com, Lita Febriani TRIBUNNEWS.COM, JAKARTA- Mengawali tahun baru 2023, Honda Motor Co., Ltd mengumumkan rencana peluncuranmobil listrikHonda N-Vanpada tahun 2024 di Jepang. Honda N-Van EV akan memiliki daya jelajah maksimum sejauh 200 km yang dinilai cocok untuk mobilitas perkotaan dan memiliki dimensi panjang bodi 3.395 mm, lebar 1.475 mm dan tinggi 1.950 mm. Ruang bagasi mudah digunakan, karena meniadakan pilar tengah di sisi penumpang, dimana hal tersebut memungkinkan bukaan besar di sisi penumpang depan kendaraan. Melalui bukaan besar di samping dan bukaan pintu belakang yang besar, bongkar muat menjadi efisien. Honda N-Van merupakan model dari Honda N Series yang terdiri dari N-One, N-Box dan N-WGN. Di pasar Jepang, minicar menjadi pilihan mobil paling realistis untuk menunjang mobilitas masyarakat serta digunakan sebagai kendaraan niaga dimanaHonda N-Vanmenjadi model favorit karena mobil ini memiliki kapasitas bagasi yang luas. Semua tipeHonda N-Vandilengkapi fitur keselamatan Honda Sensing dan memiliki struktur door-in-pillar yang berfungsi sebagai pilar tengah saat pintu ditutup, sehingga menghasilkan kinerja keselamatan pasif setara dengan konstruksi bodi dengan pilar. Berbagai teknologi keselamatan ini memberi rasa aman kepada pengemudi saat melakukan aktivitas. Pengenalan Honda N-Van listrik pada 2024 sendiri disebut sejalan dengan misi perusahaan pada 2050 untuk mencapai netralitas karbon."
Delhi Transport Corporation Pesan 1500 Bus Listrik dari Tata Motors,https://www.tribunnews.com/otomotif/2023/01/03/delhi-transport-corporation-pesan-1500-bus-listrik-dari-tata-motors,Otomotif,"Tayang:Selasa, 3 Januari 2023 20:40 WIB","Laporan Wartawan Tribunnews.com, Mikael Dafit Adi Prasetyo TRIBUNNEWS.COM, MUMBAI –Perusahaan Transportasi Delhi (Delhi Transport Corporation) telah menandatangani perjanjian definitif dengan anak perusahaanTata Motors, TML CV Mobility Solutions Ltd. untuk mengoperasikan 1.500bus listrikdi kotaNew Delhi, India. TML CV Mobility Solutions Ltd. akan memasok, mengoperasikan, dan memelihara 1.500 unitbus listrikber-AC setinggi 12 meter untuk jangka waktu 12 tahun. “Ini adalah langkah signifikan menuju pengenalan mobilitas listrik di ibu kota Delhi. Pengenalan bus tanpa emisi dan tanpa kebisingan akan sangat membantu dalam meningkatkan kualitas udara di kota. Bus-bus baru juga akan sangat bermanfaat bagi para komuter dengan fasilitas canggih dan kursi yang nyaman,” kata Shilpa Shinde, Managing DirectorDelhi Transport Corporation. CEO TML CV Mobility Solutions Ltd, Asim Kumar Mukhopadhyay, menyebut perjanjian denganTata Motorsmerupakan langkah besar dalam menciptakan transportasi bersih dan ramah lingkungan. “Hubungan kami denganDelhi Transport Corporationyang telah terjalin selama lebih dari satu dekade, didasarkan pada rasa saling percaya dan kerja sama dan tatanan ini akan semakin memperkuatnya. Kami yakinbus listrikakan menyediakan transportasi umum yang berkelanjutan, aman, dan nyaman bagi para komuter Delhi,” kata Asim Kumar Mukhopadhyay. Dikutip dari Electrive,Tata Motorshingga saat ini telah mengirimkan lebih dari 730bus listrikyang dioperasikan di beberapa kota di India. Pesanan baru baru-baru ini termasuk pesanan dari Perusahaan Transportasi Benggala Barat dan Perusahaan Transportasi Metropolitan Bengaluru, yang telah memesan total lebih dari 2.000 bus listrik dengan Tata Motors pada Agustus 2022."
"Berburu Mobil Bekas, Harga Toyota Rush Keluaran Lawas Mulai dari Rp 95 Jutaan",https://www.tribunnews.com/otomotif/2023/01/03/berburu-mobil-bekas-harga-toyota-rush-keluaran-lawas-mulai-dari-rp-95-jutaan,Otomotif,"Tayang:Selasa, 3 Januari 2023 20:34 WIB","Laporan Wartawan Tribunnews.com, Lita Febriani TRIBUNNEWS.COM, JAKARTA- Meningkatnya pasarSUVdi Tanah Air membuat konsumenmobil bekasjuga berburu mobil tipe ini. Salah satu yang diminati adalahToyota Rush. Rush model lama memiliki dimensi panjang 4.420 mm, lebar 1.745 mm, serta tinggi 1.740 mm. Desain eksteriornya lebih membulat dengan lampu utama sudah dilengkapi dengan proyektor, dengan grille berbentuk trapesium dan logo Toyota di tengahnya. Bagian bumper depan terdapat lubang udara dan fog lamp yang menambah kesan sporty mobil ini. Fitur audio masih menggunakan single din dan pengoperasian AC masih menggunakan knop putar dan jok sudah dibungkus bahan fabric warna abu-abu yang selaras dengan warna doortrim. Toyota Rush model lama ditawarkan dalam tiga varian, yakni G Manual 5-speed, S Manual 5-speed dan S Otomatis 4-speed. Jantung pacunya mengusung mesin berkode 3SZ-VE, berteknologi DOHC berkapasitas 1.500 cc 4-silinder dengan teknologi VVT-i, yang mampu menghasilkan tenaga sebesar 109 PS dan torsi maksimum 145 Nm. 500 cc, Rp 95 juta - G M/T 2008 1.500 cc, Rp 100 juta - S A/T 2008 1.500 cc, Rp 100 juta - G M/T 2009 1.500 cc, Rp 108 juta - S A/T 2009 1.500 cc, Rp 115 juta - S M/T 2009 1.500 cc, Rp 105 juta - G A/T 2010 1.500 cc, Rp 105 juta - G M/T 2010 1.500 cc, Rp 110 juta - S A/T 2010 1.500 cc, Rp 110 juta - S M/T 2010 1.500 cc, Rp 105 juta"
"Penjualan Mobil Listrik Tesla di 2022 Pecah Rekor, Tembus 1,31 Juta Unit",https://www.tribunnews.com/otomotif/2023/01/03/penjualan-mobil-listrik-tesla-di-2022-pecah-rekor-tembus-131-juta-unit,Otomotif,"Tayang:Selasa, 3 Januari 2023 19:10 WIB","Laporan Wartawan Tribunnews.com Namira Yunia Lestanti TRIBUNNEWS.COM, CALIFORNIA– Produsenmobil listrikmilik Elon Musk,TeslaInc mengumumkan bahwa jumlah penjualanmobil listriknya telah tembus mencapai 1,31 juta unit selama perdagangan di tahun 2022. Dalam laporannyaTeslamenyebutkan penjualan di 2022 naik 40 persen dibandingkan dengan capaian tahun sebelumnya dan menjadi rekor baru yang pernah dicetak produsenmobil listrikasal Amerika itu. Serangkaian tekanan terus menerpa pabrikmobil listrikTesla, seperti anjloknya nilai sahamTesladi bursa Wall Street sebesar 65 persen akibat aksi jual saham yang dilakukan Elon Musk. Tesla juga menghadapi merosotnya volume produksi di pabrik China imbas lonjakan Covid-19 namun hal tersebut tak lantas mempengaruhi penjualanmobil listrikTesla. Secara rinci,Teslamenjelaskan bahwa penjualanmobil listriknya pada kuartal satu berhasil mencetak angka 310.048 unit. Sayangnya di kuartal kedua tepatnya pada periode April hingga Juni, penjualanTeslamengalami sedikit penurunan dimana saat ituTeslahanya mampu menjual sekitar 254.000 unitmobil listrik. Namun memasuki kuartal ketiga penjualan mobil listrik Tesla berhasil mencatat pengiriman sebanyak 343.830 unit, meningkat sekitar 42,49 persen secara tahunan (year-on-year/yoy) dibandingkan kuartal ketiga 2021. 278 unit dengan total produksi sebanyak 439.701 unit, seperti yang dikutip dari Techcrunch. Naiknya penjualan ini terjadi setelah Tesla memberikan sejumlah potongan promo dan subsidi terhadap semua pembeli mobil listrik yang ada di China dan Amerika . Tercatat usaiTeslamenawarkan potongan diskon, penjualan mobil crossover Model Y tembus mencapai 388.131 unit. Sedangkan pengiriman sedan Model S kelas atas dan SUV Model X melonjak jadi 17.147 unit hanya dalam kurun waktu tiga bulan tepatnya pada kuartal keempat 2022."
"Angkutan Odong-odong Makin Marak, Kakorlantas: Kalau Lewat Jalan Raya Jangan Naik!",https://www.tribunnews.com/otomotif/2023/01/03/angkutan-odong-odong-makin-marak-kakorlantas-kalau-lewat-jalan-raya-jangan-naik,Otomotif,"Tayang:Selasa, 3 Januari 2023 17:52 WIB","Laporan Wartawan Tribunnews.com, Igman Ibrahim TRIBUNNEWS.COM, JAKARTA -KakorlantasIrjen Firman Santyabudi meminta masyarakat untuk tidak naikodong-odongyang masuk kejalan raya. Pasalnya, pemakaianodong-odongseharusnya hanya untuk diperuntukkan di kawasan wisata. ""Jadi mobilodong-odongitu mobil wisata yang memang disediakan di daerah lingkungan wisata. Ini imbauan kami ke masyarakat, jadi kalau adaodong-odongkeluar jalan itu sebaiknya tidak usah naik, kalau boleh saya bilang seperti itu,"" kata Firman di gedung NTMC Polri, Jakarta, Selasa (3/1/2023). Firman menegaskan, setiap kendaraan yang boleh melintas di jalan harus sudah menjalani uji kelaikan. Menurutnya, pemakaianodong-odongdijalan rayaberpotensi menimbulkan kecelakaan. ""Terutama harus laik jalan, ada uji tipe dan sebagainya. Kedua, seharusnya digunakan di dalam, jadi nggak boleh semua mobil dipakai jadi bukan peruntukannya,"" ujarnya. ""Ini selalu kecelakaan dimulai dengan adanya pelanggaran, contoh-contoh pelanggaran ini lah yang terus kita eliminasi, kita sering melakukan teguran, penilangan, tujuannya bukan menghukum, tapi mencegah kecelakaan lalu lintas,"" jelasnya. Firman menambahkan pihaknya bakal berkoordinasi dengan kementerian terkait untuk menentukan daftar kendaraan-kendaraan yang layak untuk digunakan di jalan raya. Kita berharap semua kendaraan itu setelah ada uji baru boleh dioperasikan. Jadi kami tentunya akan terus berkoordinasi dengan kementerian terkait yang memiliki kewenangan untuk menentukan kendaraan ini layik atau tidak,"" jelasnya."
Pengendara yang Copot Pelat Nomor Demi Hindari Tilang ETLE Akan Dibawa ke Kantor Polisi,https://www.tribunnews.com/otomotif/2023/01/03/pengendara-yang-copot-pelat-nomor-demi-hindari-tilang-etle-akan-dibawa-ke-kantor-polisi,Otomotif,"Tayang:Selasa, 3 Januari 2023 16:23 WIB","Laporan Wartawan Tribunnews.com, Igman Ibrahim TRIBUNNEWS.COM, JAKARTA -Kakorlantas Polri Irjen Pol Firman Shantyabudi menyatakanpengendarayang sengaja mencopotpelat nomordemi menghindaritilang ETLEbisa langsung dibawa ke kantor polisi. Firman mengatakan, pencopotanpelat nomorini merupakan modus barupengendaraagar terhindar daritilang ETLE. Sebab, kini anggota kepolisian tak bisa lagi melakukan tilang manual kepadapengendara. ""Yang nggak pakaipelat nomorbelakang kita masukin kantor kita dulu, suruh pasang gitu. Kalau masyarakat enggak mau disusahkan sama kita, pasang saja lagi,"" ujarnya. ""Ini kan sesuatu yang ironis, kalau kita mengajak untuk tertib tetapi justru belakangnya dicopot, kita enggak tahu ada kamera di belakang,"" kata Firman di Gedung NTMC, Jakarta, Selasa (3/1/2023). Firman menuturkan, penindakanpengendarayang mencopotpelat nomoritu sekaligus menghindari pelaku yang dicurigai sebagai begal. Pasalnya, hampir seluruh pelaku begal tidak memakaipelat nomor. ""Penghindaranpelat nomordengan dicopot dengan sengaja, ya kalau saya pribadi jangan-jangan pelaku ini. Karena hampir semua pelaku begal, coba cek di YouTube enggak ada yang pakaipelat nomorbelakang,"" ungkapnya. Firman menginstruksikan agar para anggotanya untuk menindak pengendara yang tak pakai pelat nomor. Sebaliknya, masyarakat diminta untuk tertib dalam berlalu lintas. ""Salah enggak polisi, yang penting kita enggak nuduh. Ya pasang saja itu, kita ajak untuk tertib,"" pungkasnya. Sebelumnya, Kapolri Jenderal Polisi Listyo Sigit Prabowo memerintahkan kepada jajarannya di Korps Lalu Lintas Polri untuk tidak menggelar tilang secara manual. Instruksi larangan menggelar tilang secara manual tersebut dituangkan dalam surat telegram Nomor: ST/2264/X/HUM.3.4.5./2022, per tanggal 18 Oktober 2022, yang ditandatangani oleh Kakorlantas Polri Irjen Firman Shantyabudi atas nama Kapolri. ""Penindakan pelanggaran lalu lintas tidak menggunakan tilang manual. Namun hanya dengan menggunakan ETLE baik statis maupun mobile dan dengan melaksanakan teguran kepada pelanggar lalu lintas,"" tulis instruksi dalam poin nomor lima surat telegram tersebut. Masih dalam telegram tersebut, personel Korlantas Polri juga diminta untuk memberikan pelayanan prima serta menerapkan senyum, sapa, dan salam (3S) saat memberikan pelayanan mulai dari sentra loket Samsat, Satpas, penanganan kecelakaan lalu lintas, dan pelanggaran lalu lintas. Selanjutnya, Kapolri juga meminta agar anggota Polantas untuk melaksanakan kegiatan pengaturan khususnya di lokasi Blackspot dan Troublespot. Serta melaksanakan kegiatan, pendidikan masyarakat lalu lintas untuk meningkatkan Kamseltibcarlantas serta mencegah terjadinya pelanggaran dan kecelakaan lalu lintas. ""Melaksanakan pelatihan guna meningkatkan kemampuan dan profesionalisme anggota Polantas dalam melaksanakan tugas Polri di fungsi lantas,"" instruksi Kapolri sebagaimana termaktub dalam telegram itu. Selanjutnya, Polantas Polri juga diminta untuk profesional dalam menangani kasus kecelakaan lalu lintas yang terjadi. Personel diimbau untuk transparan dan prosedural tanpa memihak kepada salah satu yang beperkara guna meningkatkan kepercayaan publik terhadap Polri. Melaksanakan koordinasi dengan seluruh pihak terkait untuk memecahkan masalah Kamseltibcarlantas di wilayah masing-masing. Lalu, personel diminta melaksanakan kegiatan pembinaan rohani setiap minggu terhadap anggota guna meningkatkan iman dan ketakwaan kepada Tuhan Yang Maha Esa serta meningkatkan kinerja anggota Polantas. ""Tampilkan sikap anggota Polri yang sederhana dan tidak menampilkan kehidupan yang hedonisme dengan mendekatkan diri kepada masyarakat melalui kegiatan bakti sosial atau sedekah,"" lanjutnya. Selanjutnya, melaksanakan tugas pelayanan bidang lalu lintas secara profesional, transparan, akuntabel, dan tidak boleh melakukan pungutan di luar ketentuan atau Pungli. Korlantas Polri juga diminta menggelar Apel Arahan Pimpinan (AAP) dan Anev agar anggota memedomani SOP serta tidak melakukan kegiatan yang kontra produktif. Poin terakhir telegram tersebut adalah perinah kepada jajaran kepolisian agar melakukan pengawasan dan pengendalian yang melekat dan berjenjang untuk pelaksanaan kegiatan pelayanan bidang lalu lintas agar anggota lebih memahami tugas dan tanggung jawab masing-masing."
Tesla Akan Rilis Model Y Versi Harga Lebih Terjangkau,https://www.tribunnews.com/otomotif/2023/01/03/tesla-akan-rilis-model-y-versi-harga-lebih-terjangkau,Otomotif,"Tayang:Selasa, 3 Januari 2023 16:14 WIB","Laporan Wartawan Tribunnews.com, Lita Febriani TRIBUNNEWS.COM -Situs pengkodean pembuat mobil back-end baru-baru ini menginformasikan harga dasar terbaru untukmobil listrikTeslaModel Ysebesar 61.990 dolar AS atau sekitar Rp 968 jutaan. Dari tampilannya,TeslaModel Ybaru akan mempertahankan sistem penggerak AWD motor ganda, tetapi memiliki jangkauan yang lebih rendah daripada trim dasar yang ada saat ini. Dilansir dari Carscoops, kode di situs konfigurator tersebut menunjukkan bahwa Tesla memiliki trim lain,Model Y'Jangkauan Standar' atau 'Jarak Pendek' yang sedang dikerjakan. Menurut Electrek, kode tersebut menunjukkan bahwa model dasar baru ini juga akan menampilkan sel baterai 4.680 internal Tesla. Strategi menawarkanModel Ybaru dengan harga lebih rendah ini diharapkan dapat membantu Tesla bersaing lebih baik melawan kompetitor barunya seperti Kia EV6, Mustang Mach-E dan Hyundai Ioniq 6. Masing-masing kompetitor ini menyajikan harga jauh lebih murah daripadaModel Y. Tentu saja, masing-masing harganya juga tersedia sebagai EV penggerak belakang saja. Tesla pada titik tertentu dapat menawarkan Model Y dengan spesifikasi serupa untuk bersaing. Perlu dicatat bahwa Tesla saat ini hanya menawarkan versi Model Y RWD di Eropa. 990 dolar AS, mobil buatan Negeri Paman Sam yang baru ini tidak jauh lebih murah daripada mobil saat ini. Itu adalah kisaran AWD motor gandaModel Yterakhir dengan 4.680 sel yang dibuat di Texas Gigafactory."
"Optimisme Pemain Aftermarket di 2023, Produsen Lampu Mobil dan Motor Ini Bidik Pasar Luar Negeri",https://www.tribunnews.com/otomotif/2023/01/03/optimisme-pemain-aftermarket-di-2023-produsen-lampu-mobil-dan-motor-ini-bidik-pasar-luar-negeri,Otomotif,"Tayang:Selasa, 3 Januari 2023 14:38 WIB","Laporan Wartawan Tribunnews.com, Lita Febriani TRIBUNNEWS.COM, JAKARTA -Memasuki tahun 2023, optimisme industri otomotif mulai terlihat dengan langkah produsenaftermarketuntuk membidikpasar luar negeri. PT Tyto Lampu Indonesia (Ayoto) yang berdiri sejak 26 September 2014, perusahaan yang bergerak di produksi dan penjualan lampu LED kendaraan, menawarkan lampu depan, lampu kabut, lampu tembak, lampu stop, lampu sein dan lampu kendaraan lainnya dengan teknologi yang lebih terang dan tahan lama. ""Lampu Ayoto terkenal karena cahayanya yang fokus dan terang, serta masa pemakaiannya yang awet, karena bagi kami hal yang paling utama adalah keselamatan pengendara,"" tuturDirektur Utama PT Tyto Lampu Indonesia Jiang Wei, Selasa (3/1/2023). 000 buah per-bulan. Perusahaan berkomitmen untuk memberikan kualitas lampu LED sepeda motor dan mobil terbaik kepada pelanggan. Merek Ayoto sendiri mengklaim telah mendapat kepercayaan tinggi konsumen indonesia sejak lama. Perusahaan menjamin bahwa semua produk yang dibeli dari perusahaan adalah produk yang bermutu tinggi dan juga mendapatkan garansi produk yang sama dari pabriknya langsung. Sementara untuk pembelian partai besar,Ayotojuga menyediakan agen sales untuk offline marketing yang siap mendatangi para pelanggan yang hendak membeli dalam partai besar. Sampai saat ini produk-produkAyotosudah tersebar di berbagai kota di Indonesia, jadi customer bisa membeli langsung secara offline di toko-toko sparepart kendaraan terdekat di kotanya. Semua produk headlampAyotobergaransi 6-18 bulan. Untuk range hargaAyotomemasarkan produk headlamp-nya mulai dari Rp 28.500. Sementara untuk produk paling mahal saat ini ada tipeAyotoT9 Projector Lens dengan banderol Rp 495.000. Kantor cabang AYOTO terletak di Jakarta Barat, tepatnya di JI. Cendrawasih raya No.6, Kelurahan cengkareng Barat, Kec. Cengkareng dan berkantor pusat di Provinsi Henan, China."
Usai Liburan Mobil Jadi Agak Boros? Lakukan Hal Ini Agar Kembali Irit BBM,https://www.tribunnews.com/otomotif/2023/01/03/usai-liburan-mobil-jadi-agak-boros-lakukan-hal-ini-agar-kembali-irit-bbm,Otomotif,"Tayang:Selasa, 3 Januari 2023 11:33 WIB","Laporan Wartawan Tribunnews.com, Lita Febriani TRIBUNNEWS.COM, JAKARTA -Usai berlibur dengan menempuh jalur darat menggunakan mobil pribadi, tentu perlu memeriksa kondisi mobilnya sebelum digunakan kembali untuk mobilitas sehari-hari. Hal ini dapat memastikan kondisi mobil agar tetap prima, termasuk dalam penggunaan BBM, apakah masih efisien atau tidak. ""Setelah libur tahun baru bersama keluarga, jangan lupa untuk melakukan pemeriksaan komponen mobil supaya terjaga kondisinya dan siap kembali beraktivitas,"" tutur Aftersales Business Division Head Auto2000 Nur Imansyah Tara, Selasa (3/1/2023). 00 WIB Berikut ini beberapa tips yang dapat dicoba Tribunners untuk mengetahui apakah mobil masih tetap irit BBM atau justru jadi boros setelah dipakai berlibur. Berikut tipsnya: 1. PeriksaBan Mobil Ban mobil harus siap menerima berbagai kondisi jalan yang dilewati ketika libur tahun baru, selain mobil pasti diisi penuh oleh penumpang dan barang bawaan. Oleh sebab itu, wajib periksa tekanan udara ban sesuai rekomendasi pabrikan. Perhatikan kondisi telapak dan dinding ban, serta bibir pelek mobil. Segera bawa ke bengkel untuk pengecekan. Periksa ban cadangan, lakukan spooring dan balancing untuk menjaga kondisinya. Cek Oli Mesin Dibutuhkan pelumas yang sanggup melindungi mesin dari gesekan antar komponen, sehingga mesin dapat bekerja optimal. Cek kondisioli mesinkarena sudah kerja keras, pastikan volumenya sesuai takaran dan tambah kalau kurang. Perhatikan juga warnanya, jangan sampai berubah menjadi keruh, hitam pekat, atau seperti tercampur air. 3. Waspada Kaki-kaki Mobil Perhatikan shock absorber dari kebocoran dan karet-karet penyangga di sekitarnya dari potensi getas atau robek. Cek kondisi selang rem untuk mencegah kebocoran. Lihat kondisi kampas rem cakram, sedangkan rem tromol cermati kebocoran dengan memperhatikan dinding teromol rem. Periksa bagian lain di kolong mobil untuk memastikan tidak ada masalah. Kondisi Mesin Bersihkan mesin dengan kain lap basah supaya terlihat jika ada kebocoran atau kerusakan lainnya. Posisikan kunci kontak di ON dan lihat indikator di panel instrumen apakah ada masalah. Jika tidak ada, bisa melanjutkan dengan menyalakan mesin. Dengarkan bila ada suara aneh terdeteksi. Jika sampai ada masalah, cara terbaik untuk mengecek dan memperbaiki adalah dengan membawa mobil ke bengkel. 5. Inspeksi Cairan Mobil Komponen bergerak pada mobil banyak yang tergantung kepada cairan. Start dari mengecek cairan radiator bersama tabung cadangan air radiator. Perhatikan ketinggian tabung penyimpan cairan rem dan pembersih kaca depan. Periksa volume tabung fluida kopling untuk mobil transmisi manual. Cek ketinggian air aki, lanjut bersihkan permukaan tutup pengisi dan terminal aki. Lanjut cek volume minyak power steering hidrolis dan pastikan freon AC tidak kurang. Bersihkan Kabin Pastikan seluruh bagian mobil dicuci bersih, mulai dari bodi, kolong mobil, ruang mesin, hingga kabin dan bagasi. Kabin dan bagasi harus diberi perhatian lebih mengingat dipakai sebagai tempat duduk penumpang dan menyimpan barang. Pastikan tidak ada kotoran tersisa untuk menjaga kebersihannya. Anda bisa menyemprotkan bahan disinfektan untuk membunuh bakteri, virus dan kuman."
