topic_id,rank,word,score
1,1,laku,11057.922957238328
1,2,menteri,10289.208742451141
1,3,perintah,8692.875421965698
1,4,presiden,8356.293333203537
1,5,negara,6926.733855573149
1,6,belum,6727.548768037814
1,7,dia,6594.82172082585
1,8,prabowo,6026.715452599351
1,9,kepada,5966.4262038570105
1,10,hukum,5874.454160073852
1,11,ujar,5756.220879852546
1,12,kait,5340.028928323567
1,13,indonesia,5302.619319715334
1,14,atur,4828.516614002459
1,15,ketua,4543.573343153673
1,16,minta,4305.543316962278
1,17,nomor,4152.6475683100825
1,18,kasus,4110.762573317725
1,19,dpr,4094.9599998871004
1,20,tetap,4086.6709071886767
2,1,indonesia,17070.87358511169
2,2,kendara,13716.568187143288
2,3,mobil,12088.614558594114
2,4,besar,10571.574084290056
2,5,harga,9777.575497291284
2,6,motor,8930.494608834886
2,7,pasar,8075.421651188839
2,8,lalu,7591.000507919446
2,9,jual,7342.04142462777
2,10,laku,7267.884174867698
2,11,produk,6736.652172034903
2,12,naik,6709.6507421854
2,13,ekonomi,5874.847003150266
2,14,uang,5592.0107842361285
2,15,listrik,5405.861621771322
2,16,bank,5335.101197991859
2,17,belum,5318.862743710917
2,18,bagi,5148.931129002478
2,19,beli,5019.109984549855
2,20,baru,4919.5225291669385
3,1,wisata,7537.330816518515
3,2,bagi,6439.848950868861
3,3,hotel,5888.234641930513
3,4,libur,5851.625958171602
3,5,alam,5682.503549286082
3,6,nikmat,5567.3280851918635
3,7,kota,5559.285101092947
3,8,unjung,5347.308374876704
3,9,lokasi,5259.844194603594
3,10,tarik,4725.523865397248
3,11,harga,4490.056871909033
3,12,wisatawan,4479.789756293038
3,13,pilih,4367.371853127934
3,14,buka,4295.976470615379
3,15,tawar,4025.6191906412478
3,16,kunjung,3988.926343231145
3,17,tak,3966.0576047432783
3,18,masuk,3889.9179594620264
3,19,tiap,3633.9611022997315
3,20,raya,3456.4796163086035
4,1,wib,12153.567451564497
4,2,daftar,11399.320951130212
4,3,laku,8410.398914323747
4,4,ikut,7014.307472943585
4,5,pukul,6207.136482733257
4,6,pilih,6160.48979062445
4,7,tiket,5772.361366019855
4,8,layan,5137.625420877381
4,9,serta,5012.58854841861
4,10,jalur,4778.389180641761
4,11,aplikasi,4754.074225344223
4,12,lalu,4724.622141909705
4,13,baru,4477.75108405902
4,14,berangkat,4353.00830766533
