Actual_Label,Predicted_Label,Prediction_Correct,Prob_Edukasi,Prob_Finance,Prob_Health,Prob_Lifestyle,Prob_Nasional,Prob_Otomotif,Prob_Sport,Prob_Teknologi,Prob_Travel,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,filename,title
Lifestyle,Lifestyle,True,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0005055109709677,0.0005052822462798,0.0394094383741729,0.0005053169162725,0.0263226531636755,0.0005053064483967,0.1178308030572568,0.0293392546322212,0.7850764341907566,tribunnews_lifestyle_20251021_042924.csv,"Bukan Sekadar Gaya, Ini Alasan Mengapa Remaja Perlu Pakai Sunscreen"
Edukasi,Nasional,False,0.19,0.2,0.01,0.0,0.58,0.02,0.0,0.0,0.0,0.0003985808650453,0.000398466132185,0.7191053744270377,0.000398454403415,0.1850761291546122,0.0003983689244632,0.0884425085170335,0.0003984682963451,0.0053836492798628,tribunnews_lifestyle_20251021_042924.csv,Khutbah Jumat tentang Nisfu Syaban yang Singkat dan Penuh Makna
Sport,Sport,True,0.01,0.01,0.0,0.0,0.0,0.09,0.86,0.01,0.02,0.0003250168520369,0.0003250612926153,0.453670661323215,0.0003250221836593,0.0661174337676839,0.2798493510029186,0.000325056429547,0.0003253756634215,0.1987370214849021,tribunnews_lifestyle_20251021_042924.csv,Sambut Comfy Day Ala Lazada dengan Berbagai Aktivitas Menarik dan Ciptakan Kenyamanan Terbaikmu
Finance,Nasional,False,0.2,0.14,0.02,0.01,0.47,0.05,0.02,0.04,0.05,0.1986952772492044,0.000402866329506,0.604095900049684,0.0149374839439656,0.0004028390689692,0.0004026645780209,0.1691955652718239,0.0004028273863705,0.0114645761224552,tribunnews_lifestyle_20251021_042924.csv,7 Keutamaan Bulan Syaban dan Anjuran bagi Umat Muslim
Travel,Travel,True,0.22,0.14,0.01,0.01,0.22,0.02,0.01,0.02,0.35,0.0007773422663244,0.0007773402725824,0.3398557792484177,0.0007772219398225,0.1514144691034092,0.1135615351535972,0.2138519200149489,0.1782071185417157,0.0007772734591816,tribunnews_lifestyle_20251021_042924.csv,Desainer Eni Joe Terus Gaungkan Komitmen Cinta Budaya Tanah Air Lewat Beragam Acara
Health,Lifestyle,False,0.02,0.0,0.35,0.63,0.0,0.0,0.0,0.0,0.0,0.00077225730885,0.0860512395467048,0.252569498446221,0.0007720367683057,0.0611880247250354,0.4710370229054664,0.0007722740462986,0.1260652669232743,0.0007723793298434,tribunnews_lifestyle_20251021_042924.csv,"Sepatu Sneaker Bermotif Batik Makin Diminati, Bahkan Dikoleksi Penggemarnya"
Teknologi,Teknologi,True,0.08,0.0,0.01,0.01,0.02,0.02,0.0,0.86,0.0,0.0011464364614088,0.0011462290062948,0.2848930928574647,0.001145910922106,0.0011464345262712,0.0782988837618527,0.3067097783103779,0.1737544809167512,0.1517587532374724,tribunnews_lifestyle_20251021_042924.csv,"Mey Hasibuan Gaungkan Gerakan Mengumpulkan Sampah Plastik, From Trash To Treasure"
Teknologi,Otomotif,False,0.01,0.25,0.0,0.0,0.2,0.32,0.0,0.19,0.03,0.00057898310584,0.000578981549457,0.0314732356772112,0.0005792045129255,0.0101259803706429,0.0005789109033729,0.0005788324009655,0.0005788641258203,0.9549270073537643,tribunnews_lifestyle_20251021_042924.csv,"Cara Memanjangkan Rambut dengan Cepat Secara Alami, Berikut Tipsnya"
Sport,Sport,True,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0017651345319988,0.0017644615225235,0.0017641721202937,0.0017648723583337,0.0017642992012747,0.0017642347715078,0.0017650981518583,0.0017646716399155,0.9858830557022936,tribunnews_lifestyle_20251021_042924.csv,Cara Sehat untuk Menurunkan Berat Badan
Nasional,Nasional,True,0.01,0.09,0.0,0.0,0.89,0.0,0.0,0.0,0.01,0.1592663020746803,0.0003279087152015,0.7293505685420992,0.0003279516861336,0.1094156263793306,0.0003278382945574,0.0003279591827108,0.0003278884977766,0.0003279566275096,tribunnews_lifestyle_20251021_042924.csv,"30 Ucapan Minta Maaf di Malam Nisfu Syaban, 24 Februari 2024"
